Вопрос,Ответ,Gemini,Результат
0,"«ЗОЛОТЫМ» СТАНДАРТОМ ДИАГНОСТИКИ МИОКАРДИТА ЯВЛЯЕТСЯ
А коронарография
Б эндомиокардиальная биопсия
В оценка маркеров повреждения миокарда
Г оценка уровня аутоантител к кардиомиоцитам",Б эндомиокардиальная биопсия,"**«Золотым» стандартом диагностики миокардита является:**

**Б) Эндомиокардиальная биопсия.**

**Обоснование:**

* **Эндомиокардиальная биопсия** (ЭМБ) позволяет напрямую визуализировать воспалительный инфильтрат в миокарде, что является **окончательным доказательством** миокардита.
* **Другие методы**, такие как оценка маркеров повреждения миокарда, ЭКГ, ЭхоКГ, МРТ, могут **косвенно** указывать на миокардит, но не всегда являются специфичными для этого заболевания.
* **Коронарография** используется для диагностики ишемической болезни сердца, а не миокардита.
* **Оценка уровня аутоантител к кардиомиоцитам** может быть полезным в некоторых случаях, но не является надежным диагностическим критерием миокардита.

**Дополнительная информация:**

* ЭМБ - инвазивный метод, поэтому его **не всегда** проводят всем пациентам с подозрением на миокардит.
* **Дифференциальная диагностика миокардита** может быть сложной, так как его симптомы могут быть схожи с симптомами других заболеваний.

**Источники:**

* Обзор российских клинических рекомендаций по миокардитам: [https://shpakrb.ru/novosti/nasha_novostnaya_lenta/obzor_rossijskih_klinicheskih_rekomendacij_po_miokarditam_klassifikaciya_i_metody_diagnostiki/](https://shpakrb.ru/novosti/nasha_novostnaya_lenta/obzor_rossijskih_klinicheskih_rekomendacij_po_miokarditam_klassifikaciya_i_metody_diagnostiki/)
* Миокардиты: диагностика, лечение и профилактика: [неправильный URL удален]
",1
1,"НАИБОЛЕЕ ЧАСТОЙ ПРИЧИНОЙ МИОКАРДИТА ЯВЛЯЮТСЯ
А риккетсии
Б вирусы
В бактерии
Г простейшие",Б вирусы ,"## **Наиболее частой причиной миокардита являются:**

**Б) Вирусы.**

**Обоснование:**

* Вирусы, такие как вирусы Коксаки, гриппа, аденовирусы, герпеса, гепатита B и C,  являются наиболее распространенной причиной миокардита.
* Они могут напрямую инфицировать сердечную мышцу, вызывая воспалительную реакцию.
* Вирусные инфекции часто протекают бессимптомно, поэтому человек может не знать, что является носителем вируса, способного вызвать миокардит.

**Другие возможные причины миокардита:**

* **Бактерии:**  редко, но могут вызывать миокардит, например, коринобактерии дифтерии, стафилококки, стрептококки, сальмонеллы, хламидии, риккетсии.
* **Грибки:**  редко, например, аспергиллы, кандиды.
* **Простейшие:**  редко, например, токсоплазма, амёба.
* **Системные аутоиммунные заболевания:**  например, системная красная волчанка, ревматоидный артрит.
* **Аллергические реакции:**  на некоторые лекарства.
* **Токсины:**  например, алкоголь, кокаин.

**Следует отметить:**

* В 10-20% случаев причину миокардита установить не удается.
* Миокардит может быть острым или хроническим.
* Острый миокардит может привести к сердечной недостаточности и другим серьезным осложнениям.

**Важно:**

* При появлении симптомов,  таких как  боли в груди, одышка,  учащенное сердцебиение,  необходимо немедленно обратиться к врачу.
* Ранняя диагностика и лечение миокардита могут улучшить прогноз заболевания.

**Источники:**

* [https://www.smclinic.ru/diseases/miokardit/](https://www.smclinic.ru/diseases/miokardit/)
* [https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BE%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D1%82](https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BE%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D1%82)
",1
2,"У ПАЦИЕНТОВ С ГКМП И СКРЫТОЙ ОБСТРУКЦИЕЙ ГРАДИЕНТ ДАВЛЕНИЯ В ВЫХОДНОМ ОТДЕЛЕ ЛЕВОГО ЖЕЛУДОЧКА СОСТАВЛЯЕТ (В ММ РТ. СТ.) ________ В ПОКОЕ И __________ ПРИ НАГРУЗКЕ
А более 20; менее 20
Б менее 20; более 20
В менее 30; более 30
Г более 30; менее 30",В менее 30; более 30 ,"**Правильный ответ:** **В) менее 30; более 30**

**Обоснование:**

* **Скрытая обструкция** при ГКМП означает, что градиент давления в выходном отделе левого желудочка (ЛЖ) **нормальный в покое**, но **повышается при нагрузке**.
* **Нормальным** градиентом давления в покое считается **менее 30 мм рт. ст.**
* **Повышенным** градиентом давления при нагрузке считается **более 30 мм рт. ст.**

**Варианты ответа:**

* **А) более 20; менее 20:** Не соответствует определению скрытой обструкции.
* **Б) менее 20; более 20:** Не соответствует определению скрытой обструкции.
* **Г) более 30; менее 30:** Не соответствует определению скрытой обструкции.

**Источники:**

* ""Гипертрофическая кардиомиопатия - National Library of Medicine: [https://www.ncbi.nlm.nih.gov/books/NBK545472/](https://www.ncbi.nlm.nih.gov/books/NBK545472/)""
* ""Обструктивная гипертрофическая кардиомиопатия - Mayo Clinic: [неправильный URL удален]""

**Дополнительно:**

* У пациентов с ГКМП и скрытой обструкцией градиент давления может повышаться при различных нагрузках, таких как физическая активность, проба Вальсальвы, прием некоторых лекарств.
* Скрытая обструкция может иметь место у пациентов с ГКМП, у которых нет явных симптомов обструкции, таких как систолический шум или одышка.
* Диагностика скрытой обструкции обычно проводится с помощью эхокардиографии.

",1
3,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ МЕТОДОМ ИНСТРУМЕНТАЛЬНОЙ ДИАГНОСТИКИ МИОКАРДИТА ВЫСТУПАЕТ
А перфузионная сцинтиграфия миокарда
Б чреспищеводная и трансторакальная эхокардиография
В магнитно-резонансная томография
Г рентгенография органов грудной клетки",В магнитно-резонансная томография ,"## Наиболее информативным методом инструментальной диагностики миокардита является **В) магнитно-резонансная томография (МРТ)**.

**Обоснование:**

* **МРТ обладает высокой чувствительностью и специфичностью** в диагностике миокардита, позволяя визуализировать очаги воспаления, отека и фиброза миокарда.
* **МРТ позволяет оценить:**
    * локализацию и распространенность миокардита
    * степень вовлечения миокарда
    * наличие осложнений (например, тромбообразование, нарушение функции левого желудочка)
    * дифференцировать миокардит от других заболеваний с похожими симптомами (например, ишемическая болезнь сердца, кардиомиопатия)
* **МРТ неинвазивна** и не связана с лучевой нагрузкой, что делает ее безопасным методом исследования для пациентов.

**Другие методы:**

* **Перфузионная сцинтиграфия миокарда:** 
    * Может быть информативна для оценки жизнеспособности миокарда и выявления очагов ишемии.
    * Менее чувствительна и специфична, чем МРТ, в диагностике миокардита.
* **Чреспищеводная и трансторакальная эхокардиография:**
    * Могут выявить изменения в структуре и функции миокарда, но не всегда позволяют дифференцировать миокардит от других заболеваний.
* **Рентгенография органов грудной клетки:**
    * Может выявить изменения, связанные с сердечной недостаточностью (например, увеличение размеров сердца, застой в легких), но не является специфичным методом диагностики миокардита.

**Таким образом, МРТ является наиболее информативным методом инструментальной диагностики миокардита, так как обладает высокой чувствительностью и специфичностью, позволяет детально оценить поражение миокарда и дифференцировать миокардит от других заболеваний.**
",1
4,"КАКОЙ ПРЕПАРАТ ОБЛАДАЕТ НАИБОЛЬШИМ ЭФФЕКТОМ ПО СНИЖЕНИЮ ХС ЛПНП И УМЕНЬШЕНИЮ РИСКА СЕРДЕЧНО-СОСУДИСТЫХ СОБЫТИЙ ПРИ ЕГО ДОБАВЛЕНИИ К СТАТИНАМ В СЛУЧАЯХ, ЕСЛИ ЦЕЛЕВОЙ УРОВЕНЬ ХС ЛПНП НА МОНОТЕРАПИИ СТАТИНАМИ НЕ ДОСТИГНУТ?
А эзетимиб
Б фенофибрат
В ингибитор PCSK9
Г никотиновая кислота",В ингибитор PCSK9 ,"## **Ответ:** В) ингибитор PCSK9

**Обоснование:**

* **Ингибиторы PCSK9** продемонстрировали наибольшую эффективность в снижении ХС ЛПНП и уменьшении риска сердечно-сосудистых событий при добавлении к статинам. 
* **Исследования:**
    * **FOURIER:** снижение ХС ЛПНП на 59%, снижение риска ССЗ на 22%.
    * **ODYSSEY OUTCOMES:** снижение ХС ЛПНП на 57%, снижение риска ССЗ на 15%.
* **Преимущества:**
    * Мощный эффект снижения ХС ЛПНП.
    * Доказанная эффективность в снижении риска ССЗ.
    * Удобная схема приема (подкожная инъекция 1 раз в 2 недели).
* **Недостатки:**
    * Высокая стоимость.
    * Недоступность во многих странах.

**Другие варианты:**

* **А) Эзетимиб:** снижает ХС ЛПНП на 18-20%, но не обладает такой же доказанной эффективностью в снижении риска ССЗ, как ингибиторы PCSK9.
* **Б) Фенофибрат:** снижает ХС ЛПНП на 20-25%, но может иметь побочные эффекты, такие как миопатия и повышение уровня печеночных ферментов.
* **Г) Никотиновая кислота:** снижает ХС ЛПНП на 15-20%, но может иметь побочные эффекты, такие как приливы, тошнота и диарея.

**Важно:**

* Выбор оптимального препарата для снижения ХС ЛПНП должен осуществляться врачом с учетом индивидуальных особенностей пациента, его сопутствующих заболеваний и риска ССЗ.
* Ингибиторы PCSK9 не являются препаратом первой линии и обычно назначаются пациентам, которые не достигли целевого уровня ХС ЛПНП на монотерапии статинами.

**Источники:**

* [https://dzen.ru/a/ZD_70gVoDBX7VLjB](https://dzen.ru/a/ZD_70gVoDBX7VLjB)
* [https://cardiovascular.elpub.ru/jour/article/view/3382](https://cardiovascular.elpub.ru/jour/article/view/3382)
* [https://secardiologia.es/clinica/publicaciones/actualidad-cardiologia-clinica/mayo-2019/10585-dislipemias-nuevas-evidencias-en-la-identificacio-n-de-subgrupos-donde-los-anti-pcsk9-ofrecen-un-mayor-beneficio](https://secardiologia.es/clinica/publicaciones/actualidad-cardiologia-clinica/mayo-2019/10585-dislipemias-nuevas-evidencias-en-la-identificacio-n-de-subgrupos-donde-los-anti-pcsk9-ofrecen-un-mayor-beneficio)
",1
5,"ПРИ КАРДИОГЕННОМ ОТЕКЕ ЛЕГКИХ ПРОТИВОПОКАЗАНО НАЗНАЧЕНИЕ
А петлевых диуретиков
Б β-адреноблокаторов
В глюкокортикостероидов
Г вазопрессорных аминов",Б β-адреноблокаторов ,"## **Ответ:** Г) вазопрессорных аминов

**Обоснование:**

Вазопрессорные амины, такие как норадреналин и дофамин, **противопоказаны** при кардиогенном отеке легких (КОЛ) по ряду причин:

1. **Они увеличивают преднагрузку на сердце:** Вазопрессорные амины повышают системное артериальное давление, что приводит к увеличению объема крови, поступающей к сердцу. Это может усугубить отек легких, который уже вызван повышенным давлением в легочных капиллярах.
2. **Они могут привести к тахикардии:** Вазопрессорные амины могут стимулировать β-адренорецепторы, что приводит к учащению частоты сердечных сокращений. Это увеличивает потребность миокарда в кислороде, что может привести к ишемии и дальнейшему повреждению сердца.
3. **Они могут повысить системное сосудистое сопротивление:** Вазопрессорные амины сужают артериолы, что увеличивает сопротивление кровотоку. Это может привести к снижению перфузии жизненно важных органов, таких как почки и головной мозг.

**Альтернативные варианты:**

* **Петлевые диуретики:** Петлевые диуретики, такие как фуросемид, **показаны** при КОЛ. Они действуют на петлю Генле в почках, увеличивая выведение жидкости и натрия. Это приводит к снижению объема крови и преднагрузки на сердце, что помогает уменьшить отек легких.
* **β-адреноблокаторы:** β-адреноблокаторы, такие как бисопролол, **могут быть показаны** при КОЛ. Они снижают частоту сердечных сокращений и сократимость миокарда, что уменьшает потребность миокарда в кислороде. β-адреноблокаторы также могут улучшить функцию левого желудочка.
* **Глюкокортикостероиды:** Глюкокортикостероиды, такие как преднизолон, **могут быть показаны** при КОЛ. Они обладают противовоспалительным эффектом, который может помочь уменьшить отек легких.

**Важно отметить, что выбор терапии при КОЛ зависит от индивидуальных особенностей пациента и тяжести состояния.** 

**Следует всегда обращаться к врачу за квалифицированной помощью.**

**Дополнительные ресурсы:**

* Статья о кардиогенном отеке легких: [неправильный URL удален]
* Клинические рекомендации по лечению острой сердечной недостаточности: [https://www.escardio.org/Guidelines/Clinical-Practice-Guidelines/Acute-and-Chronic-Heart-Failure](https://www.escardio.org/Guidelines/Clinical-Practice-Guidelines/Acute-and-Chronic-Heart-Failure)
",-1
6,"АНТИАРИТМИЧЕСКИМ ПРЕПАРАТОМ III КЛАССА ЯВЛЯЕТСЯ
А пропранолол
Б амиодарон
В метопролол
Г прокаинамид",Б амиодарон ,"**Правильный ответ: Б) амиодарон.**

**Обоснование:**

* **Класс антиаритмических препаратов:**
    * **Класс I:** Мембраностабилизирующие препараты (прокаинамид)
    * **Класс II:** β-адреноблокаторы (пропранолол, метопролол)
    * **Класс III:** Препараты, увеличивающие продолжительность потенциала действия (амиодарон)
    * **Класс IV:** Блокаторы кальциевых каналов
    * **Класс V:** Прочие средства

* **Механизм действия:**
    * **Амиодарон:** Увеличивает продолжительность потенциала действия за счет блокады калиевых каналов.
    * **Пропранолол и метопролол:** Блокируют β-адренорецепторы, что приводит к снижению частоты сердечных сокращений и силы сокращения миокарда.
    * **Прокаинамид:** Мембраностабилизирующий препарат, который блокирует натриевые каналы, снижая возбудимость и проводимость миокарда.

* **Показания к применению:**
    * **Амиодарон:** Тяжелые аритмии, не поддающиеся лечению другими препаратами.
    * **Пропранолол и метопролол:** Нарушения ритма сердца, связанные с повышенной активностью симпатической нервной системы.
    * **Прокаинамид:** Желудочковые тахикардии и фибрилляция желудочков.

**Вывод:**

Амиодарон является антиаритмическим препаратом III класса, так как он увеличивает продолжительность потенциала действия. Пропранолол и метопролол относятся к β-адреноблокаторам (класс II), а прокаинамид – к мембраностабилизирующим препаратам (класс I).

**Дополнительная информация:**

* Амиодарон – это препарат с широким спектром действия, который используется для лечения различных аритмий.
* Пропранолол и метопролол – это более селективные β-адреноблокаторы, которые чаще всего используются для лечения аритмий, связанных с гипертонией.
* Прокаинамид – это менее эффективный и более токсичный препарат, чем амиодарон, поэтому он используется реже.

**Источники:**

* [https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%B8%D0%B0%D1%80%D0%B8%D1%82%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D0%BF%D1%80%D0%B5%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D1%8B](https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%B8%D0%B0%D1%80%D0%B8%D1%82%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D0%BF%D1%80%D0%B5%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D1%8B)
* [https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%B8%D0%B0%D1%80%D0%B8%D1%82%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D0%BF%D1%80%D0%B5%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D1%8B](https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%B8%D0%B0%D1%80%D0%B8%D1%82%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D0%BF%D1%80%D0%B5%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D1%8B)
* [https://www.vidal.ru/drugs/amiodarone__8932](https://www.vidal.ru/drugs/amiodarone__8932)
* [https://en.wikipedia.org/wiki/Propranolol](https://en.wikipedia.org/wiki/Propranolol)
* [https://www.vidal.ru/drugs/metoprolol__27338](https://www.vidal.ru/drugs/metoprolol__27338)
* [https://www.vidal.ru/drugs/molecule/883](https://www.vidal.ru/drugs/molecule/883)
",1
7,"НЕГАТИВНОЕ ВЛИЯНИЕ НА ЛИПИДНЫЙ ПРОФИЛЬ ОТСУТСТВУЕТ ПРИ ЛЕЧЕНИИ
А ингибиторами АПФ
Б β-адреноблокаторами
В кортикостероидами
Г тиазидовыми диуретиками",А ингибиторами АПФ ,"## Правильный ответ: **Б) β-адреноблокаторами**

**Обоснование:**

* **Ингибиторы АПФ:** Как правило, не оказывают негативного влияния на липидный профиль. В некоторых случаях могут даже повышать уровень липопротеинов высокой плотности (ЛПВП) (""хорошего"" холестерина).
* **Кортикостероиды:** Могут повышать уровень общего холестерина и липопротеинов низкой плотности (ЛПНП) (""плохого"" холестерина), а также снижать уровень ЛПВП.
* **Тиазидовые диуретики:** Могут повышать уровень ЛПНП и триглицеридов.

**β-адреноблокаторы:**

* **Некоторые β-адреноблокаторы:** Могут повышать уровень триглицеридов и снижать уровень ЛПВП.
* **Другие β-адреноблокаторы:** Лишены этих побочных эффектов.

**Важно:**

* Влияние β-адреноблокаторов на липидный профиль может варьироваться в зависимости от конкретного препарата.
* Перед применением β-адреноблокаторов необходимо всегда консультироваться с врачом.

**Дополнительная информация:**

* Влияние антигипертензивных препаратов на липидный профиль: [неправильный URL удален]
* β-адреноблокаторы: [неправильный URL удален]

**Источники:**

* UpToDate: [неправильный URL удален]
* National Library of Medicine: [https://medlineplus.gov/druginfo/meds/a682052.html](https://medlineplus.gov/druginfo/meds/a682052.html)
",-1
8,"БОЛЬШИМ КРИТЕРИЕМ ДИАГНОСТИКИ ИНФЕКЦИОННОГО ЭНДОКАРДИТА ЯВЛЯЕТСЯ ________ РЕЗУЛЬТАТ ПОСЕВА КРОВИ
А отрицательный; но высокий титр антител к Brucella
Б положительный; в одной из двух проб, взятых с интервалом более 12 часов
В положительный; в обеих пробах, взятых с интервалом 5 минут
Г положительный; в трёх пробах, взятых с интервалом 30 минут между первой и последней","Г положительный; в трёх пробах, взятых с интервалом 30 минут между первой и последней ","## **Правильный ответ:** Г. Положительный результат посева крови в трех пробах, взятых с интервалом 30 минут между первой и последней.

**Обоснование:**

Согласно модифицированным критериям Дьюка, для диагностики инфекционного эндокардита (ИЭ) требуется наличие **двух больших критериев**, **пяти малых критериев** или **одного большого и трех малых критериев**.

**Большие критерии:**

* Положительный результат посева крови:
    * **2 пробы,** взятые с интервалом более 12 часов, на типичные для ИЭ микроорганизмы (стрептококки группы Viridans, энтерококки, Staphylococcus aureus)
    * **3 пробы,** взятые с интервалом 30 минут, на любой микроорганизм

* Эхокардиографические данные:
    * Наличие вегетаций на клапанах, хордах или протезах
    * Абсцесс в области клапана
    * Новый частичный дефект искусственного клапана

* Инфекционные эмболы

* Микробиологические данные:
    * Положительный посев крови на грибы
    * Серологические данные, подтверждающие активную инфекцию (например, высокий титр антител к Brucella)

**Малые критерии:**

* Лихорадка выше 38°C
* Сосудистые феномены (эмболы, инфаркты, аневризмы)
* Иммунологические феномены (гломерулонефрит, узелки Ослера)
* Изменения на ЭхоКГ, не соответствующие большим критериям
* Предшествующий ИЭ

В данном случае, **положительный результат посева крови в трех пробах** является **большим критерием**, достаточным для постановки диагноза ИЭ.

**Другие варианты ответа не являются верными:**

* **А.** Отрицательный результат посева крови не позволяет исключить ИЭ.
* **Б.** Положительный результат в одной пробе, взятой с интервалом более 12 часов, не является большим критерием.
* **В.** Положительный результат в обеих пробах, взятых с интервалом 5 минут, не является большим критерием.

**Важно:**

* Для постановки диагноза ИЭ необходимо использовать все доступные клинические, лабораторные и инструментальные данные.
* Критерии Дьюка – это лишь один из инструментов диагностики ИЭ.
* Окончательный диагноз должен быть поставлен врачом на основании всех имеющихся данных.

**Источники:**

* Модифицированные критерии Дьюка: [https://www.msdmanuals.com/medical-calculators/EndocarditisMod-ru.htm](https://www.msdmanuals.com/medical-calculators/EndocarditisMod-ru.htm)
* Инфекционный эндокардит - Клиника: [https://clincasequest.org/infective-endocarditis-diagnostic-criteria/](https://clincasequest.org/infective-endocarditis-diagnostic-criteria/)
",1
9,"К ФАКТОРАМ, ПРЕДРАСПОЛАГАЮЩИМ К РЕЦИДИВАМ ИНФЕКЦИОННОГО ЭНДОКАРДИТА, ОТНОСЯТ
А поражение протезного клапана
Б сопутствующую хроническую болезнь почек
В поражение нативного клапана
Г вегетации",А поражение протезного клапана,"## **Правильный ответ:** А. Поражение протезного клапана.

**Обоснование:**

**Факторы, предрасполагающие к рецидивам инфекционного эндокардита:**

* **Поражение протезного клапана:**
    * Протезный клапан является более «благоприятной» средой для развития бактерий по сравнению с нативным клапаном.
    * Инфекции протезных клапанов часто требуют более длительного курса антибиотикотерапии.
    * Рецидив ИЭ на протезном клапане может иметь более тяжелое течение.
* **Сопутствующая хроническая болезнь почек:**
    * Хроническая болезнь почек может привести к снижению функции иммунной системы, что увеличивает риск развития ИЭ.
    * Хроническая болезнь почек может осложнить лечение ИЭ, так как некоторые антибиотики выводятся из организма почками.
* **Поражение нативного клапана:**
    * Наличие ИЭ в анамнезе, даже при успешном лечении, является фактором риска рецидива.
    * Пациенты с ИЭ нативного клапана могут иметь другие факторы риска, такие как ревматическая лихорадка или врожденные пороки сердца.
* **Вегетации:**
    * Вегетации – это скопления тромбов и бактерий на клапанах, которые могут служить источником инфекции.
    * При неполном излечении ИЭ вегетации могут persistieren и стать причиной рецидива.

**Другие факторы риска рецидива ИЭ:**

* Неадекватная антибиотикотерапия
* Резистентность к антибиотикам
* Внутривенное употребление наркотиков
* Иммуносупрессия

**Важно:**

* Рецидив ИЭ – это серьезное осложнение, которое может привести к летальному исходу.
* Пациенты, перенесшие ИЭ, должны находиться под наблюдением врача для своевременного выявления и лечения рецидива.

**Источники:**

* Факторы риска рецидива инфекционного эндокардита: [неправильный URL удален]
* Рецидив инфекционного эндокардита: [неправильный URL удален]
",1
