Вопрос,Ответ
0,"МОДИФИЦИРУЕМЫМ ФАКТОРОМ РИСКА РАЗВИТИЯ АТЕРОСКЛЕРОЗА ЯВЛЯЕТСЯ
А мужской пол
Б сахарный диабет 2 типа
В отягощённая наследственность
Г возраст",Б сахарный диабет 2 типа
1,"АБСОЛЮТНЫМ ПРОТИВОПОКАЗАНИЕМ К ПРИЕМУ СЕКВЕСТРАНТОВ ЖЕЛЧНЫХ КИСЛОТ ЯВЛЯЕТСЯ
А	жировой гепатоз
Б	детский возраст до 10 лет
В	выраженная гипертриглицериемия
Г	беременность и кормление грудью",В  выраженная гипертриглицериемия
2,"ПРИ УМЕРЕННОМ СУММАРНОМ КАРДИОВАСКУЛЯРНОМ РИСКЕ ПО SCORE НАЗНАЧЕНИЕ ГИПОЛИПИДЕМИЧЕСКОЙ ЛЕКАРСТВЕННОЙ ТЕРАПИИ ВОЗМОЖНО ПРИ УРОВНЕ ХС ЛПНП В ОТСУТСТВИЕ ЭФФЕКТА ОТ НЕМЕДИКАМЕНТОЗНОЙ ТЕРАПИИ (ESC, 2016) ______ ММОЛЬ/Л И ВЫШЕ
А        1,8
Б        4,0
В        5,0
Г        2,5","Г        2,5"
3,"НАИБОЛЕЕ ЭФФЕКТИВНЫМ МЕТОДОМ НЕМЕДИКАМЕНТОЗНОГО ПОВЫШЕНИЯ УРОВНЯ ЛИПОПРОТЕИДОВ ВЫСОКОЙ ПЛОТНОСТИ В КРОВИ ЯВЛЯЕТСЯ
А        снижение избыточной массы тела
Б        умеренное употребление алкоголя
В        употребление продуктов богатых клетчаткой
Г        физическая активность",Г физическая активность
4,"ИСКЛЮЧЕНИЕ ПОВАРЕННОЙ СОЛИ ИЗ РАЦИОНА БОЛЬНЫХ ПРИ ОБОСТРЕНИИ ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНИ РЕКОМЕНДУЕТСЯ НА (В ДНЯХ)
А        30
Б        1-2
В        21
Г        7-10",Г        7-10
5,"У МУЖЧИНЫ 78 ЛЕТ С АДЕНОМОЙ ПРОСТАТЫ ПРЕДПОЧТИТЕЛЬНО НАЧАТЬ ЛЕЧЕНИЕ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИИ С НАЗНАЧЕНИЯ
А        доксазозина
Б        кандесартана
В        гидрохлортиазида
Г        карведилола",А        доксазозина
6,"ПРЕПАРАТАМИ ВЫБОРА ДЛЯ ЛЕЧЕНИЯ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИИ У ПАЦИЕНТОВ С ПОДАГРОЙ ЯВЛЯЮТСЯ
А        бета-блокаторы
Б        прямые ингибиторы ренина
В        тиазидные диуретики
Г        сартаны",Г	сартаны
7,"ПОБОЧНЫМ ЭФФЕКТОМ ПРЕПАРАТА ИЗ ГРУППЫ БЛОКАТОРОВ МЕДЛЕННЫХ КАЛЬЦИЕВЫХ КАНАЛОВ НИФЕДИПИНА ЯВЛЯЕТСЯ
А	гипертонический криз
Б	синусовая тахикардия
В	цереброваскулярная недостаточность
Г	диабетическая нефропатия",Б синусовая тахикардия
8,"ПРАВО ГРАЖДАН НА ОХРАНУ ЗДОРОВЬЯ И МЕДИЦИНСКУЮ ПОМОЩЬ ЗАКРЕПЛЕНО В СТАТЬЕ ______ КОНСТИТУЦИИ РОССИЙСКОЙ ФЕДЕРАЦИИ
А	7
Б	39
В	65
Г	41",Г 41
9,"ЗАБОЛЕВАНИЕ, КОТОРОЕ ВЫЗЫВАЕТ ПЕРВООЧЕРЕДНУЮ НЕОБХОДИМОСТЬ ОКАЗАНИЯ МЕДИЦИНСКОЙ ПОМОЩИ В СВЯЗИ С НАИБОЛЬШЕЙ УГРОЗОЙ ЖИЗНИ И ЗДОРОВЬЮ, ЛИБО СТАНОВИТСЯ ПРИЧИНОЙ СМЕРТИ, ЯВЛЯЕТСЯ ___________ ЗАБОЛЕВАНИЕМ
А	основным
Б	прогрессирующим
В	рецидивирующим
Г	сопутствующим",А основным
10,"О КАЧЕСТВЕ ПРОФИЛАКТИЧЕСКОЙ РАБОТЫ СВИДЕТЕЛЬСТВУЕТ ПОКАЗАТЕЛЬ
А	охвата прикрепленного населения профилактическими медицинскими осмотрами
Б	текучести кадров
В	отношения числа пациентов, которым проведена трансплантация почки, к числу нуждающихся
Г	занятости койки в стационаре, в который госпитализируется прикрепленное население",А охвата прикрепленного населения профилактическими медицинскими осмотрами
11,"К ГИПОГЛИКЕМИЧЕСКИМ ПРЕПАРАТАМ 1 ЛИНИИ У ПАЦИЕНТОВ СО СТЕНОКАРДИЕЙ НАПРЯЖЕНИЯ, ОЖИРЕНИЕМ, ЛИБО ИЗБЫТОЧНОЙ МАССОЙ ТЕЛА И САХАРНЫМ ДИАБЕТОМ 2 ТИПА, ПРИ ОТСУТСТВИИ ПРОТИВОПОКАЗАНИЙ ОТНОСЯТ
А	тиазолидиндионы
Б	ингибиторы альфа-глюкозидаз
В	метформин
Г	производные сульфонилмочевины",В метформин
12,"ПРИ РЕЦИДИВЕ ИНФАРКТА МИОКАРДА ДЛЯ ПОВТОРНОГО ВВЕДЕНИЯ НЕ РАЗРЕШЕНО ПРИМЕНЕНИЕ
А        проурокиназы
Б        стрептокиназы
В        тенектеплазы
Г        алтеплазы",Б        стрептокиназы
13,"ПРОВЕДЕНИЕ ТРОМБОЛИТИЧЕСКОЙ ТЕРАПИИ У ПАЦИЕНТОВ С ОСТРЫМ ИНФАРКТОМ МИОКАРДА С ПОДЪЕМОМ СЕГМЕНТА ST ПОКАЗАНО В ПЕРВЫЕ
А        12 часов от начала болевого приступа при невозможности провести ЧКВ в течение 2 часов
Б        24 часа от начала симптомов всем больным
В        4 часа от начала симптомов при невозможности провести ЧКВ в течение 1 часа
Г        4 часа от начала симптомов всем больным",А        12 часов от начала болевого приступа при невозможности провести ЧКВ в течение 2 часов
14,"ТОЛЩИНА СТЕНОК ЛЕВОГО ЖЕЛУДОЧКА ПРИ УМЕРЕННО ВЫРАЖЕННОЙ ГИПЕРТРОФИИ СОСТАВЛЯЕТ (В ММ)
А        14-16
Б        более 20
В        13-14
Г        16-20",А        14-16
15,"ОПТИМАЛЬНЫМ МЕТОДОМ ИССЛЕДОВАНИЯ ПРИ ПРЕДВАРИТЕЛЬНОМ ДИАГНОЗЕ «КОМБИНИРОВАННЫЙ МИТРАЛЬНЫЙ ПОРОК» ЯВЛЯЕТСЯ
А        перфузионная сцинтиграфия
Б        рентгеновская компьютерная томография
В        селективная ангиография
Г        допплерография",Г        допплерография
