Вопрос,Ответ
0,"«ЗОЛОТЫМ» СТАНДАРТОМ ДИАГНОСТИКИ МИОКАРДИТА ЯВЛЯЕТСЯ
А коронарография
Б эндомиокардиальная биопсия
В оценка маркеров повреждения миокарда
Г оценка уровня аутоантител к кардиомиоцитам",Б эндомиокардиальная биопсия
1,"НАИБОЛЕЕ ЧАСТОЙ ПРИЧИНОЙ МИОКАРДИТА ЯВЛЯЮТСЯ
А риккетсии
Б вирусы
В бактерии
Г простейшие",Б вирусы 
2,"У ПАЦИЕНТОВ С ГКМП И СКРЫТОЙ ОБСТРУКЦИЕЙ ГРАДИЕНТ ДАВЛЕНИЯ В ВЫХОДНОМ ОТДЕЛЕ ЛЕВОГО ЖЕЛУДОЧКА СОСТАВЛЯЕТ (В ММ РТ. СТ.) ________ В ПОКОЕ И __________ ПРИ НАГРУЗКЕ
А более 20; менее 20
Б менее 20; более 20
В менее 30; более 30
Г более 30; менее 30",В менее 30; более 30 
3,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ МЕТОДОМ ИНСТРУМЕНТАЛЬНОЙ ДИАГНОСТИКИ МИОКАРДИТА ВЫСТУПАЕТ
А перфузионная сцинтиграфия миокарда
Б чреспищеводная и трансторакальная эхокардиография
В магнитно-резонансная томография
Г рентгенография органов грудной клетки",В магнитно-резонансная томография 
4,"КАКОЙ ПРЕПАРАТ ОБЛАДАЕТ НАИБОЛЬШИМ ЭФФЕКТОМ ПО СНИЖЕНИЮ ХС ЛПНП И УМЕНЬШЕНИЮ РИСКА СЕРДЕЧНО-СОСУДИСТЫХ СОБЫТИЙ ПРИ ЕГО ДОБАВЛЕНИИ К СТАТИНАМ В СЛУЧАЯХ, ЕСЛИ ЦЕЛЕВОЙ УРОВЕНЬ ХС ЛПНП НА МОНОТЕРАПИИ СТАТИНАМИ НЕ ДОСТИГНУТ?
А эзетимиб
Б фенофибрат
В ингибитор PCSK9
Г никотиновая кислота",В ингибитор PCSK9 
5,"ПРИ КАРДИОГЕННОМ ОТЕКЕ ЛЕГКИХ ПРОТИВОПОКАЗАНО НАЗНАЧЕНИЕ
А петлевых диуретиков
Б β-адреноблокаторов
В глюкокортикостероидов
Г вазопрессорных аминов",Б β-адреноблокаторов 
6,"АНТИАРИТМИЧЕСКИМ ПРЕПАРАТОМ III КЛАССА ЯВЛЯЕТСЯ
А пропранолол
Б амиодарон
В метопролол
Г прокаинамид",Б амиодарон 
7,"НЕГАТИВНОЕ ВЛИЯНИЕ НА ЛИПИДНЫЙ ПРОФИЛЬ ОТСУТСТВУЕТ ПРИ ЛЕЧЕНИИ
А ингибиторами АПФ
Б β-адреноблокаторами
В кортикостероидами
Г тиазидовыми диуретиками",А ингибиторами АПФ 
8,"БОЛЬШИМ КРИТЕРИЕМ ДИАГНОСТИКИ ИНФЕКЦИОННОГО ЭНДОКАРДИТА ЯВЛЯЕТСЯ ________ РЕЗУЛЬТАТ ПОСЕВА КРОВИ
А отрицательный; но высокий титр антител к Brucella
Б положительный; в одной из двух проб, взятых с интервалом более 12 часов
В положительный; в обеих пробах, взятых с интервалом 5 минут
Г положительный; в трёх пробах, взятых с интервалом 30 минут между первой и последней","Г положительный; в трёх пробах, взятых с интервалом 30 минут между первой и последней "
9,"К ФАКТОРАМ, ПРЕДРАСПОЛАГАЮЩИМ К РЕЦИДИВАМ ИНФЕКЦИОННОГО ЭНДОКАРДИТА, ОТНОСЯТ
А поражение протезного клапана
Б сопутствующую хроническую болезнь почек
В поражение нативного клапана
Г вегетации",А поражение протезного клапана
