Вопрос,Ответ
0,"В ПЕРЕРЫВЕ ДУГИ АОРТЫ В ЗАВИСИМОСТИ ОТ ЛОКАЛИЗАЦИИ ВЫДЕЛЯЮТ ____ ТИПА
А 2
Б 4
В 5
Г 3",Г 3
1,"К ТРЕТЬЕМУ ТИПУ АТРЕЗИИ ЛЕГОЧНОЙ АРТЕРИИ ОТНОСЯТ АТРЕЗИЮ
А клапана и ствола легочной артерии
Б ствола и обеих ветвей легочной артерии
В клапана легочной артерии
Г ствола и одной из ветвей легочной артерии",Г ствола и одной из ветвей легочной артерии
2,"ФИЗИЧЕСКИЕ УПРАЖНЕНИЯ, ПРИМЕНЯЕМЫЕ У БОЛЬНЫХ С КОМПЕНСИРОВАННЫМИ ПОРОКАМИ СЕРДЦА НА ТРЕНИРУЮЩЕМ РЕЖИМЕ, ИСКЛЮЧАЮТ
А упражнения с дозированным усилием и отягощением
Б тренировочную ходьбу
В дозированную греблю
Г силовые упражнения",Г силовые упражнения
3,"КРИТЕРИЕМ КАРДИОЛОГИЧЕСКОГО БОЛЬНОГО С НИЗКИМ РИСКОМ ОСЛОЖНЕНИЙ ЯВЛЯЕТСЯ
А остановка сердца в анамнезе
Б коронарное шунтирование
В выраженное нарушение насосной функции миокарда (фракция выброса менее 30%)
Г отсутствие патологической симптоматики в покое",Г отсутствие патологической симптоматики в покое
4,"К КРАТКОСРОЧНЫМ ЗАДАЧАМ КАРДИОРЕАБИЛИТАЦИИ ОТНОСЯТ
А снижение заболеваемости и смертности
Б выявление и устранение факторов риска
В стабилизацию сердечно-сосудистого заболевания и обеспечение контроля его симптомов
Г стабилизацию или предотвращение прогрессирования атеросклеротического процесса
",В стабилизацию сердечно-сосудистого заболевания и обеспечение контроля его симптомов
5,"КРИТЕРИЕМ КАРДИОЛОГИЧЕСКОГО БОЛЬНОГО С ПРОМЕЖУТОЧНЫМ РИСКОМ ОСЛОЖНЕНИЙ ЯВЛЯЕТСЯ
А остановка сердца в анамнезе
Б неосложненный инфаркт миокарда
В выраженное нарушение насосной функции миокарда (фракция выброса менее 30%)
Г отсутствие патологической симптоматики в покое
",Б неосложненный инфаркт миокарда
6,"ПРЕПАРАТОМ ВЫБОРА ДЛЯ КУПИРОВАНИЯ БОЛЕВОГО СИНДРОМА И ПРОФИЛАКТИКИ КАРДИОГЕННОГО ШОКА ПРИ ОСТРОМ ИНФАРКТЕ ЯВЛЯЕТСЯ
А нитроглицерин
Б морфина гидрохлорид
В трамадол
Г тримеперидин",Б морфина гидрохлорид
7,"АНТИАНГИНАЛЬНОЕ ДЕЙСТВИЕ БЕТА-АДРЕНОБЛОКАТОРОВ ЗАКЛЮЧАЕТСЯ В
А повышении артериального давления
Б увеличении сократительной способности миокарда
В расширении коронарных сосудов
Г снижении потребности миокарда в кислороде",Г снижении потребности миокарда в кислороде
8,"ПРЕПАРАТОМ, ПРЕПЯТСТВУЮЩИМ АГРЕГАЦИИ ТРОМБОЦИТОВ И ОБРАЗОВАНИЮ «БЕЛОГО» ТРОМБА, ЯВЛЯЕТСЯ
А варфарин
Б апиксабан
В аспирин
Г дабигатран",В аспирин
9,"БЫСТРАЯ ОТМЕНА КЛОНИДИНА ОПАСНА РАЗВИТИЕМ ТАКОГО СОСТОЯНИЯ КАК
А гипертонический криз
Б сердечная недостаточность
В повышение содержания ангиотензина II
Г острая почечная недостаточность",А гипертонический криз
10,"РАЗВИТИЮ ТРОМБОЗА ЛЕВОГО ПРЕДСЕРДИЯ СПОСОБСТВУЕТ
А желудочковая тахикардия
Б гипертрофия миокарда 
В относительная недостаточность митрального клапана
Г фибрилляция предсердий",Г фибрилляция предсердий 
11,"ПАЦИЕНТАМ С ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ МОЛОЖЕ 80 ЛЕТ, ВЕСОМ БОЛЕЕ 60 КГ, КРЕАТИНИНОМ ВЫШЕ ИЛИ РАВНЫМ 132 ММОЛЬ/Л НАЗНАЧАЕТСЯ 2 РАЗА В ДЕНЬ АПИКСАБАН В ДОЗЕ (В МГ)
А 5
Б 2,5
В 20
Г 30",А 5
12,"НАИБОЛЕЕ ЭФФЕКТИВНЫМ ПРЕПАРАТОМ ДЛЯ ПРЕДУПРЕЖДЕНИЯ ПОВТОРНЫХ ПРИСТУПОВ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ЯВЛЯЕТСЯ
А пропранолол
Б амиодарон
В хинидин
Г прокаинамид",Б амиодарон 
13,"ДИАГНОЗ «СКРЫТАЯ АГ» МОЖНО ИСКЛЮЧИТЬ ПРИ УРОВНЕ (В ММ РТ. СТ.)
А «офисного» АД ≥140/90
Б дневного амбулаторного АД <135/85
В дневного амбулаторного АД >135/85
Г среднесуточного амбулаторного АД >135/80",Б дневного амбулаторного АД <135/85
14,"РИСК АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ ПРИ НАЛИЧИИ АССОЦИИРОВАННЫХ КЛИНИЧЕСКИХ СОСТОЯНИЙ
А средний
Б низкий
В высокий
Г очень высокий",Г очень высокий
15,"СУТОЧНОЕ МОНИТОРИРОВАНИЕ АРТЕРИАЛЬНОГО ДАВЛЕНИЯ ПОЗВОЛЯЕТ ВЫЯВИТЬ
А преходящие нарушения проводимости
Б вазоспастическую стенокардию
В феномен белого халата
Г нарушение вариабельности сердечного ритма",В феномен белого халата 
16,"В БИОХИМИЧЕСКИХ АНАЛИЗАХ КРОВИ ПРИ СИНДРОМЕ КОННА ЧАЩЕ ВСЕГО ОБНАРУЖИВАЕТСЯ
А повышение уровня катехоламинов
Б повышение уровня ренина
В снижение концентрации альдостерона
Г повышение концентрации альдостерона",Г повышение концентрации альдостерона
17,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ ПРИ ВЫПОТНОМ ПЕРИКАРДИТЕ СЛЕДУЕТ СЧИТАТЬ МЕТОД
А электрокардиографии
Б эхокардиографии
В аускультации
Грентгенографии",Б эхокардиографии 
18,"ВЫПОТ ПРИ ПЕРИКАРДИТЕ, ВЫЗВАННОМ МЕЗОТЕЛИОМОЙ, НОСИТ _________ ХАРАКТЕР
А хилезный
Б гнойный
В геморрагический
Г серозный",В геморрагический 
19,"ДЛЯ ЭКССУДАТИВНОГО ПЕРИКАРДИТА БЕЗ ТАМПОНАДЫ ПО ДАННЫМ ЭХОКГ ХАРАКТЕРНО
А наличие жидкости в полости перикарда
Б уменьшение размеров правого предсердия и правого желудочка в диастолу
В увеличение левого предсердия и левого желудочка
Г аномальное движение межжелудочковой перегородки в диастолу
",А наличие жидкости в полости перикарда 
20,"ПАЦИЕНТУ С АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ, ОСНОВНАЯ ПРОФЕССИЯ КОТОРОГО - МАШИНИСТ ЛОКОМОТИВА, МОЖНО ОПРЕДЕЛИТЬ III ГРУППУ ИНВАЛИДНОСТИ НА ПЕРИОД ВРЕМЕНИ
А бессрочно
Б 6 месяцев
В 1 год
Г 3 года",В 1 год
