Вопрос,Ответ
0,"К БЛОКАТОРАМ РЕЦЕПТОРОВ АНГИОТЕНЗИНА, РАЗРЕШЕННЫМ К ПРИМЕНЕНИЮ У ПАЦИЕНТОВ С СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ, ОТНОСЯТ   
А ирбесартан
Б эпросартан
В кандесартан, валсартан
Г телмисартан","В кандесартан, валсартан"
1,"К ПРЕПАРАТАМ, ПРИМЕНЯЕМЫМ ДЛЯ ПЕРВИЧНОЙ ПРОФИЛАКТИКИ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ, ОТНОСЯТ     
А ацетилсалициловую кислоту
Б ингибиторы АПФ
В варфарин
Г блокаторы медленных Са-каналов",Б ингибиторы АПФ
2,"АНТАГОНИСТЫ АЛЬДОСТЕРОНА РЕКОМЕНДУЮТСЯ ВСЕМ ПАЦИЕНТАМ С ХСН 
А I ФК и ФВ ЛЖ ≥ 40%
Б II-IV ФК и ФВ ЛЖ ≤ 40%
В I ФК и ФВ ЛЖ ≤ 40%
Г II-IV ФК и ФВ ЛЖ ≥ 40%",Б II-IV ФК и ФВ ЛЖ ≤ 40%
3,"РАННИЙ ПРОТЕЗНЫЙ ИНФЕКЦИОННЫЙ ЭНДОКАРДИТ РАЗВИВАЕТСЯ ДО ___ МЕСЯЦЕВ ПОСЛЕ ОПЕРАЦИИ НА КЛАПАНАХ 	
А 18
Б 14
В 16
Г 12",Г 12
4,"ДЛЯ ЭНДОКАРДИТА ЛЕФФЛЕРА ХАРАКТЕРНЫ 	
А проявления гипертрофия межжелудочковой перегородки
Б лихорадка, кашель, сыпь
В боли в животе
Г боли в горле","Б лихорадка, кашель, сыпь"
5,"ПАТОГНОМОНИЧНЫМ ПРИЗНАКОМ ИНФЕКЦИОННОГО ЭНДОКАРДИТА ЯВЛЯЕТСЯ
А появление шумов в сердце
Б появление вегетаций на клапанах при эхокардиографии
В нарастание явлений сердечной недостаточности
Г значительное ускорение СОЭ",Б появление вегетаций на клапанах при эхокардиографии
6,"НАИБОЛЕЕ ЭФФЕКТИВНЫМ СПОСОБОМ ЛЕЧЕНИЯ ЖИЗНЕОПАСНЫХ ЖЕЛУДОЧКОВЫХ АРИТМИЙ ЯВЛЯЕТСЯ
А имплантация кардиовертера-дефибриллятора
Б назначение антиаритмических препаратов
В радиочастотная катетерная деструкция
Г  имплантация электрокардиостимулятора",А имплантация кардиовертера- дефибриллятора 
7,"СНИЖАТЬ ЭФФЕКТ ОТ ПРИЕМА ВАРФАРИНА МОЖЕТ УПОТРЕБЛЕНИЕ В ПИЩУ
А помидоров
Б баклажанов
В чеснока
Г шпината",Г шпината
8,"ДЛЯ КУПИРОВАНИЯ ПРИСТУПА ЖЕЛУДОЧКОВОЙ ТАХИКАРДИИ В ПЕРВУЮ ОЧЕРЕДЬ ИСПОЛЬЗУЮТ
А лидокаин
Б аденозин (АТФ)
В метопролол
Г дигоксин",А лидокаин
9,"ПАЦИЕНТУ С АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ, ОСНОВНАЯ ПРОФЕССИЯ КОТОРОГО - МАШИНИСТ ЛОКОМОТИВА, МОЖНО ОПРЕДЕЛИТЬ III ГРУППУ ИНВАЛИДНОСТИ НА ПЕРИОД ВРЕМЕНИ
А бессрочно
Б 6 месяцев
В 1 год
Г 3 года",В 1 год
10,"ЛИСТОК НЕТРУДОСПОСОБНОСТИ ИМЕЕТ ПРАВО ВЫДАВАТЬ (ФОРМИРОВАТЬ)
А врач травматологического пункта
Б санитарный врач
В врач станции переливания крови
Г врач скорой помощи",А врач травматологического пункта
11,"СВЕДЕНИЯ О ДИАГНОЗЕ ЗАБОЛЕВАНИЯ
А вносятся в листок нетрудоспособности при условии направления пациента на медико-социальную экспертизу
Б вносятся в листок нетрудоспособности только по письменному заявлению гражданина       
В не вносятся в листок нетрудоспособности ни при каких условиях
Г  вносятся в листок нетрудоспособности в обязательном порядке

",Б вносятся в листок нетрудоспособности только по письменному заявлению гражданина  
12,"1 СТЕПЕНИ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИИ СООТВЕТСТВУЕТ СИСТОЛИЧЕСКОЕ АРТЕРИАЛЬНОЕ ДАВЛЕНИЕ ___________ ММ РТ. СТ., ДИАСТОЛИЧЕСКОЕ ________________ ММ РТ. СТ.
А 160-180; 94-100
Б выше 180; выше 110
В 140-159; выше 90-99
Г 160-179; 100-109",В 140-159; выше 90-99
13,"К БЕССИМПТОМНОМУ ПОРАЖЕНИЮ ОРГАНА ПРИ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ ОТНОСИТСЯ
А стенокардия
Б альбуминурия
В энцефалопатия
Г сердечная недостаточность со сниженной фракцией выброса",Б альбуминурия 
14,"ИЗОЛИРОВАННАЯ СИСТОЛИЧЕСКАЯ ГИПЕРТОНИЯ ХАРАКТЕРНА ДЛЯ
А аортального стеноза
Б аортальной недостаточности
В митральной недостаточности
Г митрального стеноза",Б аортальной недостаточности
15,"ПЕРЕД ВЫПОЛНЕНИЕМ ИССЛЕДОВАНИЯ НА АЛЬДОСТЕРОН-РЕНИНОВОЕ СООТНОШЕНИЕ (АРС) ПАЦИЕНТ ДОЛЖЕН ОТМЕНИТЬ
А антагонисты минералокортикоидных рецепторов за 2 недели, а другие препараты, влияющие на АРС, – за 4 недели до исследования
Б все препараты, искажающие АРС за 4 недели до исследования
В все препараты, искажающие АРС за 2 недели до исследования
Г антагонисты минералокортикоидных рецепторов за 4 недели, а другие препараты, влияющие на АРС, – за 2 недели до исследования","Г антагонисты минералокортикоидных рецепторов за 4 недели, а другие препараты, влияющие на АРС, – за 2 недели до исследования "
