Вопрос,Ответ
0," ДЛЯ ИНФАРКТА МИОКАРДА НЕ ЯВЛЯЕТСЯ ХАРАКТЕРНЫМ:    
А наличие аритмии
Б ритм галопа
В ритм перепела
Г наличие гипотонии",В ритм голопа
1,"ПРИ СУБЭНДОКАРДИАЛЬНОМ ПОВРЕЖДЕНИИ СЕГМЕНТ SТ РАСПОЛОЖЕН _______ ИЗОЛИНИИ С ДУГОЙ, ОБРАЩЕННОЙ ВЫПУКЛОСТЬЮ:        
А ниже; книзу
Б выше; кверху
В выше; книзу
Г ниже; кверху",А ниже; книзу
2,"НЕСТАБИЛЬНАЯ СТЕНОКАРДИЯ ПРОГНОСТИЧЕСКИ НЕБЛАГОПРИЯТНА В ПЛАНЕ РАЗВИТИЯ:       
А венозной недостаточности
Б легочной гипертензии
В инфаркта миокарда
Г тромбоэмболии мозговых сосудов",В инфаркт миокарда
3,"НАИБОЛЕЕ СПЕЦИФИЧЕСКИМ КЛИНИЧЕСКИМ ПРИЗНАКОМ ОСТРОЙ ЛЕВОЖЕЛУДОЧКОВОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ:        
А тахикардия
Б ортопноэ
В кровохарканье
Г отёки на нижних конечностях


",Б ортопноэ
4,"САМЫМ ЧАСТЫМ СИМПТОМОМ ПРИ ТРОМБОЭМБОЛИИ ЛЁГОЧНОЙ АРТЕРИИ ЯВЛЯЕТСЯ:        
А кровохарканье
Б одышка
В боль за грудиной
Г потеря сознания",Б одышка
5,"ПРИ ОСТРОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ С ОТЕКОМ ЛЕГКИХ ИСПОЛЬЗУЮТ:       
А ацетазоламид
Б маннитол
В фуросемид
Г спиронолактон
",В фуросемид
6,"ПАЦИЕНТУ С САХАРНЫМ ДИАБЕТОМ 2 ТИПА И СТЕНОКАРДИЕЙ, ПРИНИМАЮЩЕМУ ОРГАНИЧЕСКИЕ НИТРАТЫ, НЕ РЕКОМЕНДУЕТСЯ НАЗНАЧАТЬ:       
А лираглутид
Б пиоглитазон
В глибенкламид
Г метформин",Б пиоглитазон
7,"СИНДРОМ МЕЖКОРОНАРНОГО ОБКРАДЫВАНИЯ ПРОВОЦИРУЕТСЯ ВНУТРИВЕННЫМ ВВЕДЕНИЕМ:        
А дипиридамола
Б нитроглицерина
В изопротеренола
Г эргоновина",А дипиридамола
8,"У ПАЦИЕНТОВ С ВАЗОСПАСТИЧЕСКОЙ СТЕНОКАРДИЕЙ СЛЕДУЕТ ИЗБЕГАТЬ НАЗНАЧЕНИЯ:        
А антагонистов кальция
Б нитратов
В ингибиторов АПФ
Г β-адреноблокаторов",Г β-адреноблокаторов
9,"ПРИЧИНОЙ НЕДОСТАТОЧНОСТИ МИТРАЛЬНОГО КЛАПАНА, ОБУСЛОВЛЕННОЙ ПОРАЖЕНИЕМ МИОКАРДА, ЯВЛЯЕТСЯ:        
А инфаркт миокарда (объём поражения 30%)
Б ишемия миокарда при нестабильной стенокардии
В дилатационная кардиомиопатия
Г инфаркт миокарда межжелудочковой перегородки",В дилатационная кардиомиопатия
