Вопрос,Ответ
0,"НАИБОЛЕЕ ВЫСОКОЙ ЧУВСТВИТЕЛЬНОСТЬЮ ПРИ ДИАГНОСТИКЕ ИШЕМИЧЕСКОЙ БОЛЕЗНИ СЕРДЦА ОБЛАДАЕТ:
А холодовая диагностическая проба
Б велоэргометрия
В проба со статической физической нагрузкой
Г дипиридамоловая проба
",Б велоэргометрия
1,"ПРЯМЫЕ ПРИЗНАКИ ГЛУБОКОГО ПЕРЕГОРОДОЧНОГО (ПЕРЕДНЕЗАДНЕГО) ИНФАРКТА МИОКАРДА РЕГИСТРИРУЮТСЯ В ОТВЕДЕНИЯХ:
А II, aVR, V4
Б II, III, aVF, Dorsalis по Небу, V1-V4, V7-V9
В I, aVL, V5-V6
Г V1-V6
","Б II, III, aVF, Dorsalis по Небу, V1-V4, V7-V9"
2,"САМОЙ ЧАСТОЙ ПРИЧИНОЙ РАЗВИТИЯ КОРОНАРНОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ:
А коронарит
Б гипертрофия левого желудочка
В атеросклероз коронарных артерий
Г «мышечный» мостик в коронарных артериях
",В атеросклероз коронарных артерий
3,"ПОКАЗАТЕЛИ ПРОТЕЗНОЙ ГЕМОДИНАМИКИ В НОРМЕ ЗАВИСЯТ ОТ:
А сократительной функции миокарда
Б шовного материала
В материала, из которого изготовлен протез	
Г места имплантации, размера и конструкции протеза
","Г места имплантации, размера и конструкции протеза"
4,"ПРИ ПОВОРОТЕ СЕРДЦА ВЕРХУШКОЙ ВПЕРЕД НА ЭКГ ПОЯВЛЯЕТСЯ:
А зубец Q в I-II-III отведениях
Б передне-верхний полублок левой ножки пучка Гиса
В блокада задней ветви левой ножки пучка Гиса
Г зубец S в правых грудных отведениях
",А зубец Q в I-II-III отведениях
5,"К ПРИЧИНАМ ЗАКЛИНИВАНИЯ СТВОРОК ПРОТЕЗА ОТНОСЯТ:
А отрыв папиллярной мышцы, тромбоз, паннус
Б парапротезную фистулу
В кальциноз основания ЗМС	
Г ориентацию протеза
","А отрыв папиллярной мышцы, тромбоз, паннус"
6,"СТАНДАРТНЫМ ПРОТОКОЛОМ ДЛЯ ПРОВЕДЕНИЯ ТРЕДМИЛ-ТЕСТА У ПАЦИЕНТОВ С ПРЕДПОЛАГАЕМОЙ ХОРОШЕЙ ПЕРЕНОСИМОСТЬЮ НАГРУЗОК ЯВЛЯЕТСЯ:
А Modified bruce
Б Cornell
В Balke
Г Bruce
",Г Bruce
7,"ПАПИЛЛЯРНЫЕ МЫШЦЫ ЛОЦИРУЮТСЯ:
А субкостально
Б по короткой оси ЛЖ на уровне папиллярных мышц
В по длинной оси ЛЖ
Г супрастернально
",Б по короткой оси ЛЖ на уровне папиллярных мышц
8,"ЦЕНТРАЛЬНОЕ ВЕНОЗНОЕ ДАВЛЕНИЕ ПРИ НАКОПЛЕНИИ В ПЕРИКАРДЕ ЖИДКОСТИ:
А повышается
Б может быть как низким, так и высоким
В снижается
Г не изменяется
",А повышается
9,"ТИПИЧНЫЕ ЭКГ-ПРИЗНАКИ ПЕРИКАРДИТА МОГУТ ОТСУТСТВОВАТЬ ПРИ _________ ФОРМЕ ОСТРОГО ПЕРИКАРДИТА:
А постперикардотомной
Б уремической
В постинфарктной
Г вирусной
",Б уремической
10,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ ПРИ ВЫПОТНОМ ПЕРИКАРДИТЕ СЛЕДУЕТ СЧИТАТЬ МЕТОД:
А электрокардиографии
Б рентгенографии
В эхокардиографии
Г аускультации
",В эхокардиографии
