Вопрос,Ответ
0,"СОГЛАСНО РЕКОМЕНДАЦИЯМ ВОЗ ДЛЯ СНИЖЕНИЯ ПОКАЗАТЕЛЕЙ СЕРДЕЧНО-СОСУДИСТОЙ ЗАБОЛЕВАЕМОСТИ И СМЕРТНОСТИ, СОДЕРЖАНИЕ ТРАНС-ИЗОМЕРНЫХ ЖИРНЫХ КИСЛОТ В ПРОДУКТАХ ПИТАНИЯ НЕ ДОЛЖНО ПРЕВЫШАТЬ (В %)
А 3
Б 4        
В 1
Г 8",В 1 
1,"ДЛЯ IV ФЕНОТИПА ДИСЛИПИДЕМИЙ ХАРАКТЕРНО
А повышение содержания липопротеидов очень низкой плотности и триглицеридов
Б повышение содержания липопротеидов низкой плотности, общего холестерина и триглицеридов
В снижение содержания липопротеидов высокой плотности и повышение общего холестерина
Г повышение содержания хиломикронов и триглицеридов",А повышение содержания липопротеидов очень низкой плотности и триглицеридов 
2,"ЦЕЛЕВЫМ ЗНАЧЕНИЕМ ЛПНП ДЛЯ ПАЦИЕНТОВ С СД 2 ТИПА В СОЧЕТАНИИ С ИБС ЯВЛЯЕТСЯ УРОВЕНЬ МЕНЕЕ (В ММОЛЬ/Л)
А 1,4
Б 2,0
В 2,5
Г 3,0","А 1,4"
3,"ПО ШКАЛЕ SCORE МОЖНО ОПРЕДЕЛИТЬ РИСК
А смерти от сердечно-сосудистых осложнений за 10 лет
Б развития инфаркта миокарда
В развития любых сердечно- сосудистых осложнений
Г развития тромбоэмболических осложнений",А смерти от сердечно-сосудистых осложнений за 10 лет 
4,"ПЕРВАЯ ДОЗА НАЗНАЧЕНИЯ БИСОПРОЛОЛА У БОЛЬНЫХ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ СОСТАВЛЯЕТ (В МГ)
А 5
Б 12,5
В 10
Г 1,25","Г 1,25 "
5,"ИЗБЫТОЧНОЕ ОБРАЗОВАНИЕ АЛЬДОСТЕРОНА СОПРОВОЖДАЕТСЯ
А задержкой натрия и воды
Б повышением активности симпато-адреналовой системы
В уменьшением минутного объема сердца
Г уменьшением общего периферического сосудистого сопротивления",А задержкой натрия и воды
6,"ОСНОВНЫМИ ПРЕПАРАТАМИ, ПРИМЕНЯЕМЫМИ ПРИ ЛЕЧЕНИИ ГИПЕРТРОФИЧЕСКОЙ КАРДИОМИОПАТИИ, ЯВЛЯЮТСЯ
А сердечные гликозиды
Б сердечные гликозиды и диуретики
В бета-блокаторы и антагонисты кальция
Г периферические вазодилататоры",В бета-блокаторы и антагонисты кальция 
7,"БЕЗРАБОТНОМУ ЛИСТОК НЕТРУДОСПОСОБНОСТИ
А выдаётся при наличии у него документа о постановке на учёт по безработице
Б не выдаётся
В выдаётся в случае госпитализации
Г выдаётся только при ургентном заболевании",Б не выдаётся 
8,"ЛИСТОК НЕТРУДОСПОСОБНОСТИ ИМЕЕТ ПРАВО ВЫДАВАТЬ (ФОРМИРОВАТЬ)
А врач скорой помощи
Б врач станции переливания крови
В санитарный врач
Г врач травматологического пункта",Г врач травматологического пункта
9,"Вопрос 10 из 80
РАБОТНИКАМ ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ, ВОДОСНАБЖЕНИЯ, ДЕТСКИХ УЧРЕЖДЕНИЙ ПРИ НАЛИЧИИ У НИХ ГЕЛЬМИНТОЗА ЛИСТОК НЕТРУДОСПОСОБНОСТИ ФОРМИРУЕТСЯ (ВЫДАЕТСЯ) НА
А весь период дегельминтизации
Б 10 дней
В 5 дней
Г 7 дней",А весь период дегельминтизации
10,"НЕСТАБИЛЬНАЯ СТЕНОКАРДИЯ ПРОГНОСТИЧЕСКИ НЕБЛАГОПРИЯТНА В ПЛАНЕ РАЗВИТИЯ
А легочной гипертензии
Б тромбоэмболии мозговых сосудов
В инфаркта миокарда
Г венозной недостаточности",В инфаркта миокарда
11,"У БОЛЬНЫХ ОСТРЫМ КОРОНАРНЫМ СИНДРОМОМ С ПОДЪЁМОМ СЕГМЕНТА ST, ОСЛОЖНЁННЫМ КАРДИОГЕННЫМ ШОКОМ, ПЕРВИЧНОЕ ЧРЕСКОЖНОЕ КОРОНАРНОЕ ВМЕШАТЕЛЬСТВО СЛЕДУЕТ ПРОВОДИТЬ
А в течение 24 часов
Б в течение 6 часов
В незамедлительно
Г в течение 12 часов",В незамедлительно
12,"НАГРУЗОЧНАЯ ДОЗА КЛОПИДОГРЕЛЯ ПРИ ЛЕЧЕНИИ ОСТРОГО КОРОНАРНОГО СИНДРОМА СОСТАВЛЯЕТ ________ МГ ОДИН РАЗ В СУТКИ
А 300
Б 75
В 150
Г 50",А 300
13,"ПОДЪЕМ СЕГМЕНТА ST В БОЛЬШИНСТВЕ ОТВЕДЕНИЙ ХАРАКТЕРЕН ДЛЯ
А гиперкалиемии
Б гипокалиемии
В тромбоэмболии легочной артерии
Г острого перикардита",Г острого перикардита
