Вопрос,Ответ
0,"СЕРДЕЧНАЯ АСТМА ПРЕДСТАВЛЯЕТ СОБОЙ
А бронхоспазм при правожелудочковой недостаточности
Б бронхоспазм при физической нагрузке
В приступ ночной одышки при левожелудочковой недостаточности
Г возникновение одышки при физической нагрузке",В приступ ночной одышки при левожелудочковой недостаточности
1,"КЛАССИЧЕСКОЙ ТРИАДОЙ БЕКА ПРИ ОСТРОЙ ТАМПОНАДЕ СЕРДЦА ЯВЛЯЕТСЯ
А шум трения перикарда, тахипноэ, тахикардия
Б желудочковая тахикардия, цианоз, падение АД
В тахикардия, диспноэ, цианоз
Г падение АД, рост ЦВД (набухание вен шеи), глухие тоны сердца","Г падение АД, рост ЦВД (набухание вен шеи), глухие тоны сердца"
2,"ЕСЛИ У ПАЦИЕНТА С СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ НА ФОНЕ ТЕРАПИИ КАПТОПРИЛОМ В ДОЗЕ 150 МГ В СУТКИ РАЗВИЛСЯ АНГИОНЕВРОТИЧЕСКИЙ ОТЁК, ТО ТАКТИКОЙ ВРАЧА БУДЕТ
А замена каптоприла периндоприлом
Б замена каптоприла фозиноприлом
В уменьшение дозы каптоприла до 50 мг в сутки
Г отмена каптоприла и полный отказ от применения любых ингибиторов АПФ",Г отмена каптоприла и полный отказ от применения любых ингибиторов АПФ
3,"ДИЛАТАЦИОННАЯ КАРДИОМИОПАТИЯ ХАРАКТЕРИЗУЕТСЯ ДИЛАТАЦИЕЙ ЛЕВОГО ЖЕЛУДОЧКА СО СНИЖЕНИЕМ ЕГО СОКРАТИТЕЛЬНОЙ СПОСОБНОСТИ
А при отсутствии инфарктов миокарда в анамнезе
Б резвившейся после перенесенного инфаркта миокарда
В вне зависимости от вызвавшей ее причины
Г не вызванной ишемией или патологией клапанов сердца",Г не вызванной ишемией или патологией клапанов сердца 
4,"ПРИ ГИПЕРТРОФИЧЕСКОЙ КАРДИОМИОПАТИИ ЛЕВОГО ЖЕЛУДОЧКА НА ЭКГ МОЖНО УВИДЕТЬ
А глубокие отрицательные зубцы Т в прекардиальных отведениях
Б удлинение интервала PQ
В элевацию сегмента ST в прекардиальных отведениях
Г укорочение интервала QТ",А глубокие отрицательные зубцы Т в прекардиальных отведениях
5,"ПРИМЕНЕНИЕ КОМПЬЮТЕРНОЙ ТОМОГРАФИИ НЕ ПОЗВОЛЯЕТ ОЦЕНИТЬ
А наличие опухолей и внутрисердечных тромбов
Б объем выпота в полости перикарда
В состояние створок клапанов сердца
Г толщину стенок и размеры полостей сердца",В состояние створок клапанов сердца
6,"ПРИ РАСЧЕТЕ РИСКА ВНЕЗАПНОЙ СМЕРТИ У БОЛЬНЫХ С ГКМП УЧИТЫВАЮТ
А отягощенный семейный анамнез в отношении внезапной смерти
Б полную блокаду правой ножки пучка Гиса
В ишемические изменения на ЭКГ
Г полную блокаду левой ножки пучка Гиса",А отягощенный семейный анамнез в отношении внезапной смерти
7,"К ОСНОВНЫМ ГРУППАМ ГИПОТЕНЗИВНЫХ ПРЕПАРАТОВ ОТНОСЯТ
А альфа-адреноблокаторы
Б препараты центрального действия (блокаторы имидазолиновых рецепторов)
В диуретики, бета-адреноблокаторы, антагонисты кальция, ингибиторы АПФ, антагонисты рецепторов к АТ II
Г сердечные гликозиды, нитраты","В диуретики, бета-адреноблокаторы, антагонисты кальция, ингибиторы АПФ, антагонисты рецепторов к АТ II"
8,"ЭФФЕКТИВНЫМ МЕТОДОМ ЛЕЧЕНИЯ СИНДРОМА НОЧНОГО АПНОЭ ЯВЛЯЕТСЯ
А пластика язычка и нёбных дужек
Б ангиопластика коронарных артерий
В СРАР-терапия
Г лазерная пластика мягкого нёба",В СРАР-терапия 
9,"ОТНОСИТЕЛЬНЫМ ПРОТИВОПОКАЗАНИЕМ ДЛЯ НАЗНАЧЕНИЯ ТИАЗИДНЫХ ДИУРЕТИКОВ ЯВЛЯЕТСЯ
А сахарный диабет
Б гиперкалиемия
В застойная сердечная недостаточность
Г беременность",А сахарный диабет 
10,"ПРЕПАРАТАМИ ВЫБОРА ДЛЯ ЛЕЧЕНИЯ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ В СОЧЕТАНИИ С ИШЕМИЧЕСКОЙ БОЛЕЗНЬЮ СЕРДЦА ЯВЛЯЮТСЯ
А диуретики
Б бета-адреноблокаторы
В альфа-адреноблокаторы
Г препараты центрального действия",Б бета-адреноблокаторы
11,"ФИБРИЛЛЯЦИЯ ПРЕДСЕРДИЙ НАИБОЛЕЕ ЧАСТО ВСТРЕЧАЕТСЯ У ПАЦИЕНТОВ С СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ ___ ФК (NYHA)
А IV
Б II
В III
Г I",А IV
12,"ДИАГНОЗ ИНФЕКЦИОННОГО ЭНДОКАРДИТА ВЕРИФИЦИРОВАН ПРИ НАЛИЧИИ ___________ КРИТЕРИЕВ
А 1 большого и 2 малых
Б 5 малых
В 1 большого и 1 малого
Г 4 малых",Б 5 малых
13,"ДЛЯ ЭНДОКАРДИТА ЛЕФФЛЕРА ХАРАКТЕРНЫ
А лихорадка, кашель, сыпь
Б боли в горле
В проявления гипертрофия межжелудочковой перегородки
Г боли в животе","А лихорадка, кашель, сыпь"
14,"ВЕРИФИКАЦИЯ СТЕНОЗА ПОЧЕЧНЫХ АРТЕРИЙ ОСУЩЕСТВЛЯЕТСЯ С ПОМОЩЬЮ
А ультразвукового исследования почечных артерий (допплерографии)
Б динамической и статической сцинтиграфии почек, анализов крови и мочи
В аускультации почечных артерий со стороны передней брюшной стенки
Г аортографии с контрастированием почечных артерий",Г аортографии с контрастированием почечных артерий
15,"ПАТОГНОМОНИЧНЫМ ПРИЗНАКОМ СЕМЕЙНОЙ ДИСЛИПОПРОТЕИДЕМИИ ЯВЛЯЕТСЯ
А липоидная дуга роговицы
Б увеличение печени и селезенки
В ксантоматоз ладоней
Г ксантоматоз ахилловых сухожилий",Г ксантоматоз ахилловых сухожилий
16,"ФОРМУЛА ФРИДВАЛЬДА ПРЕДНАЗНАЧЕНА ДЛЯ ВЫЧИСЛЕНИЯ В ПЛАЗМЕ КРОВИ УРОВНЯ
А общего холестерина
Б триглицеридов
В липопротеидов низкой плотности
Г липопротеидов высокой плотности",В липопротеидов низкой плотности
17,"РИСК РАЗВИТИЯ АТЕРОСКЛЕРОЗА НАИБОЛЕЕ ХАРАКТЕРЕН ДЛЯ ГИПЕРЛИПОПРОТЕИДЕМИИ ____ ТИПА
А I
Б II, III
В IV
Г V","Б II, III"
18,"ДЛЯ КОНТРАСТИРОВАНИЯ КРОВЕНОСНЫХ СОСУДОВ ПРИМЕНЯЮТ
А верографин
Б воздух
В омнипак
Г сульфат бария",В омнипак
19,"ДЛЯ ОПТИМАЛЬНОЙ ВИЗУАЛИЗАЦИИ И ОЦЕНКИ СОСТОЯНИЯ ДИАСТОЛИЧЕСКОГО ТРАНСМИТРАЛЬНОГО КРОВОТОКА ПРИ ЭХОКАРДИОГРАФИЧЕСКОМ ИССЛЕДОВАНИИ ИСПОЛЬЗУЕТСЯ ПОЗИЦИЯ
А апикальная
Б супрастернальная
В субкостальная
Г парастернальная",А апикальная
20,"ВРЕМЯ, В ТЕЧЕНИЕ КОТОРОГО КЛЕТКА РАБОЧЕГО МИОКАРДА НЕ СПОСОБНА ОТВЕТИТЬ НА РАЗДРАЖИТЕЛЬ ЛЮБОЙ СИЛЫ, НАЗЫВАЕТСЯ
А периодом абсолютной рефрактерности
Б относительным рефрактерным периодом
В фазой экзальтации
Г периодом уязвимости",А периодом абсолютной рефрактерности 
21,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ МЕТОДОМ ИЗУЧЕНИЯ ФУНКЦИЙ И СТРУКТУР СЕРДЦА НА КЛЕТОЧНОМ УРОВНЕ ЯВЛЯЕТСЯ
А катетеризация сердца
Б магнитно-резонансная томография
В позитронно-эмиссионная (двухфотонная) компьютерная томография
Г мультиспиральная компьютерная томография",В позитронно-эмиссионная (двухфотонная) компьютерная томография
22,"ОСНОВНЫМ ПОКАЗАТЕЛЕМ ОБЩЕЙ СОКРАТИМОСТИ ЛЕВОГО ЖЕЛУДОЧКА ПРИ ЭХО-КГ ЯВЛЯЕТСЯ
А значение E/e’
Б максимальный градиент на аортальном клапане
В фракция выброса
Г расчетное давление в правом желудочке",В фракция выброса
