Вопрос,Ответ
0,"ПРИ ВОЗНИКНОВЕНИИ КАШЛЯ У БОЛЬНОГО ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ НА ФОНЕ ИСПОЛЬЗОВАНИЯ ЭНАЛАПРИЛА СЛЕДУЕТ НАЗНАЧИТЬ:        
А лизиноприл
Б периндоприл
В кандесартан
Г рамиприл",В кандесартан
1,"ПОВЫШЕНИЕ КАКОГО ПОКАЗАТЕЛЯ В КРОВИ ГОВОРИТ О СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ?:
А кретининфосфокиназы
Б гемоглобина
В креатинина
Г натрийуретическиого пептида
",Г натрийуретическиого пептида
2,"НАЧАЛЬНАЯ, СКРЫТАЯ НЕДОСТАТОЧНОСТЬ КРОВООБРАЩЕНИЯ, ПРОЯВЛЯЮЩАЯСЯ ТОЛЬКО ПРИ ФИЗИЧЕСКОЙ НАГРУЗКЕ, СООТВЕТСТВУЕТ ____ СТАДИИ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ ПО КЛАССИФИКАЦИИ Н.Д.СТРАЖЕСКО И В.Х.ВАСИЛЕНКО:
А IIA
Б I
В III
Г IIБ
",Б I
3,"ОСНОВНЫМ МЕТОДОМ ДИАГНОСТИКИ ОСТРОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ, АССОЦИИРОВАННОЙ С МЕХАНИЧЕСКИМИ ПРИЧИНАМИ, ЯВЛЯЕТСЯ:
А коронароангиография
Б рентгенография лёгких
В ЭКГ
Г эхокардиография
",Г эхокардиография
4,"СУТОЧНОЕ МОНИТОРИРОВАНИЕ АРТЕРИАЛЬНОГО ДАВЛЕНИЯ ПОЗВОЛЯЕТ ВЫЯВИТЬ:
А феномен белого халата
Б вазоспастическую стенокардию
В нарушение вариабельности сердечного ритма
Г преходящие нарушения проводимости
",А феномен белого халата
5,"ПРИМЕРНО У 30% БОЛЬНЫХ ЗЛОКАЧЕСТВЕННОЙ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ ВЫЯВЛЯЮТ:
А феохромоцитому
Б хронический гломерулонефрит
В вазоренальную артериальную гипертензию
Г альдостерому
",В вазоренальную артериальную гипертензию
6,"ПОРОГОВЫЙ УРОВЕНЬ СРЕДНЕСУТОЧНОГО СИСТОЛИЧЕСКОГО АД (ММ РТ.СТ.) ДЛЯ ДИАГНОСТИКИ АГ ПО ДАННЫМ СУТОЧНОГО МОНИТОРИРОВАНИЯ АД РАВЕН:
А 130
Б 140
В 135
Г 125
",А 130
7,"ПРИ ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНИ НА ЭКГ НАИБОЛЕЕ ЧАСТО ВЫЯВЛЯЕТСЯ:
А блокада ветвей пучка Гиса
Б увеличение амплитуды зубца U
В замедление предсердно-желудочковой проводимости
Г гипертрофия левого желудочка
","Г гипертрофия левого желудочка
"
8,"СЕРДЕЧНАЯ АСТМА ПРЕДСТАВЛЯЕТ СОБОЙ:
А бронхоспазм при физической нагрузке
Б приступ ночной одышки при левожелудочковой недостаточности
В бронхоспазм при правожелудочковой недостаточности
Г возникновение одышки при физической нагрузке
",Б приступ ночной одышки при левожелудочковой недостаточности
9,"НАИБОЛЕЕ ЧАСТОЙ ПРИЧИНОЙ СМЕРТИ ПАЦИЕНТОВ С ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ ЯВЛЯЕТСЯ:
А инфекционные осложнения
Б инфаркт миокарда
В тромбоэмболии
Г внезапная сердечная смерть
",Г внезапная сердечная смерть
10,"ПРАВИЛЬНОЙ ПОСЛЕДОВАТЕЛЬНОСТЬЮ ДЕЙСТВИЙ ПРИ ПОДОЗРЕНИИ НА ВНЕЗАПНУЮ ОСТАНОВКУ КРОВООБРАЩЕНИЯ ЯВЛЯЕТСЯ ОЦЕНКА:
А пульса и реакции зрачков на свет, ранних трупных признаков
Б роговичного (корнеального) рефлекса и симптома «кошачьего зрачка»
В собственной безопасности врача, сознания, дыхания
Г температуры тела, наличия трупных пятен и трупного окоченения


","В собственной безопасности врача, сознания, дыхания"
11,"К БЛОКАДЕ АТРИОВЕНТРИКУЛЯРНОГО ПРОВЕДЕНИЯ МОЖЕТ ПРИВЕСТИ КОМБИНАЦИЯ:
А метопрола и верапамила
Б дилтиазема и нифедипина
В метопролола и нифедипина
Г нифедипина и верапамила
",А метопрола и верапамила
12,"У ПАЦИЕНТОВ С АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ В СОЧЕТАНИИ С ПОВЫШЕННЫМ УРОВНЕМ МОЧЕВОЙ КИСЛОТЫ ПРЕПАРАТОМ ВЫБОРА ЯВЛЯЕТСЯ:
А маннитол
Б спиронолактон
В гипотиазид
Г лозартан
",Г лозартан
13,"ДЛЯ ЛЕЧЕНИЯ ОБСТРУКТИВНОЙ ГИПЕРТРОФИЧЕСКОЙ КАРДИОМИОПАТИИ ПРИМЕНЯЮТ:
А антагонист минералокортикоидных рецепторов
Б бета-адреноблокатор
В ингибитор ангиотензинпревращающего фермента
Г дигидропиридиновый антагонист кальция
",Б бета-адреноблокатор
14,"ПОКАЗАНИЕМ ПРИ НАЗНАЧЕНИЮ ИВАБРАДИНА ЯВЛЯЕТСЯ:
А нейроциркуляторная дистония
Б артериальная гипертония
В желудочковое нарушение ритма
Г хроническая сердечная недостаточность
",Г хроническая сердечная недостаточность
15,"ЦЕЛЬЮ НАЗНАЧЕНИЯ СЕРДЕЧНЫХ ГЛИКОЗИДОВ У БОЛЬНЫХ С МИТРАЛЬНЫМ СТЕНОЗОМ И ПОСТОЯННОЙ ФОРМОЙ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ЯВЛЯЕТСЯ:
А восстановление синусового ритма
Б замедление частоты сокращений желудочков
В подавление активности блуждающего нерва
Г замедление частоты сокращения предсердий
",Б замедление частоты сокращений желудочков
16,"К АНТИАРИТМИЧЕСКИМ МЕМБРАНОСТАБИЛИЗИРУЮЩИМ ПРЕПАРАТАМ IА КЛАССА (С УМЕРЕННОЙ БЛОКАДОЙ НАТРИЕВЫХ КАНАЛОВ) ОТНОСЯТ:
А хинидин, новокаинамид, дизопирамид
Б амиодарон, соталол, дронедарон
В аллапинин, пропафенон, этацизин
Г метапролол, бетаксолол, бисопролол
","А хинидин, новокаинамид, дизопирамид"
17,"НА ТЕРАПИИ ВАРФАРИНОМ ЦЕЛЕВОЙ УРОВЕНЬ МНО У ПАЦИЕНТОВ С ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ И С МЕХАНИЧЕСКИМ ПРОТЕЗОМ КЛАПАНА ДОЛЖЕН БЫТЬ:
А 2,5-3,5
Б 3,5-4
В 3-4
Г 2-2,5
","А 2,5-3,5"
