Вопрос,Ответ,GigaChat,Результат
0,"ПРИ ВОЗНИКНОВЕНИИ КАШЛЯ У БОЛЬНОГО ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ НА ФОНЕ ИСПОЛЬЗОВАНИЯ ЭНАЛАПРИЛА СЛЕДУЕТ НАЗНАЧИТЬ:        
А лизиноприл
Б периндоприл
В кандесартан
Г рамиприл",В кандесартан,"В рамиприл.

При хронической сердечной недостаточности (ХСН) происходит ремоделирование сердца, сосудов, нарушение нейрогуморальной регуляции, поэтому предпочтение отдаётся препаратам, блокирующим все звенья патогенеза ХСН. Препараты выбора — ингибиторы АПФ (иАПФ).

Эналаприл относится к группе иАПФ. Рамиприл также является представителем этой группы. Оба препарата улучшают качество жизни пациентов с ХСН, увеличивают продолжительность жизни, замедляют прогрессирование заболевания, снижают частоту госпитализаций.",-1
1,"ПОВЫШЕНИЕ КАКОГО ПОКАЗАТЕЛЯ В КРОВИ ГОВОРИТ О СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ?:
А кретининфосфокиназы
Б гемоглобина
В креатинина
Г натрийуретическиого пептида
",Г натрийуретическиого пептида,"Правильный ответ: Г. Натрийуретический пептид.

При сердечной недостаточности повышается уровень натрийуретического пептида (BNP). Это связано с тем, что при нарушении работы сердца увеличивается секреция этого гормона. Он отвечает за регуляцию водно-солевого обмена и кровяного давления. Повышение уровня BNP является одним из основных маркеров сердечной недостаточности.",1
2,"НАЧАЛЬНАЯ, СКРЫТАЯ НЕДОСТАТОЧНОСТЬ КРОВООБРАЩЕНИЯ, ПРОЯВЛЯЮЩАЯСЯ ТОЛЬКО ПРИ ФИЗИЧЕСКОЙ НАГРУЗКЕ, СООТВЕТСТВУЕТ ____ СТАДИИ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ ПО КЛАССИФИКАЦИИ Н.Д.СТРАЖЕСКО И В.Х.ВАСИЛЕНКО:
А IIA
Б I
В III
Г IIБ
",Б I,"Правильный ответ: Б I.

Согласно классификации Н. Д. Стражеско и В. Х. Василенко, хроническая сердечная недостаточность делится на три стадии. Стадия I характеризуется тем, что признаки сердечной недостаточности проявляются только при физической нагрузке. Это начальная, скрытая стадия, когда в состоянии покоя симптомы отсутствуют.",1
3,"ОСНОВНЫМ МЕТОДОМ ДИАГНОСТИКИ ОСТРОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ, АССОЦИИРОВАННОЙ С МЕХАНИЧЕСКИМИ ПРИЧИНАМИ, ЯВЛЯЕТСЯ:
А коронароангиография
Б рентгенография лёгких
В ЭКГ
Г эхокардиография
",Г эхокардиография,"Г эхокардиография
Эхокардиография позволяет оценить структуру и функцию сердца, включая размеры камер сердца, состояние клапанов, наличие внутрисердечных образований (тромбы, опухоли), а также параметры гемодинамики (фракция выброса, давление в камерах сердца). Этот метод является основным для диагностики механических причин острой сердечной недостаточности.
",1
4,"СУТОЧНОЕ МОНИТОРИРОВАНИЕ АРТЕРИАЛЬНОГО ДАВЛЕНИЯ ПОЗВОЛЯЕТ ВЫЯВИТЬ:
А феномен белого халата
Б вазоспастическую стенокардию
В нарушение вариабельности сердечного ритма
Г преходящие нарушения проводимости
",А феномен белого халата,"Правильный ответ: А. Феномен белого халата.

Суточное мониторирование артериального давления (СМАД) используется для оценки уровня артериального давления в течение суток, включая периоды бодрствования и сна. Это позволяет выявить эпизоды повышения или понижения давления, которые могут быть связаны с различными факторами, такими как стресс, физическая активность или прием лекарственных препаратов.

Феномен белого халата - это состояние, при котором у пациента наблюдается повышение артериального давления при измерении врачом или медсестрой в клинике, по сравнению с показателями, полученными при суточном мониторинге. Это может быть связано с психологическим стрессом, вызванным обстановкой медицинского учреждения.

Вазоспастическая стенокардия, нарушение вариабельности сердечного ритма и преходящие нарушения проводимости обычно диагностируются с помощью других методов исследования, таких как электрокардиография (ЭКГ), эхокардиография и другие специальные тесты.",1
5,"ПРИМЕРНО У 30% БОЛЬНЫХ ЗЛОКАЧЕСТВЕННОЙ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ ВЫЯВЛЯЮТ:
А феохромоцитому
Б хронический гломерулонефрит
В вазоренальную артериальную гипертензию
Г альдостерому
",В вазоренальную артериальную гипертензию,"Правильный ответ: А. Феохромоцитома.

Феохромоцитома — гормонально активная опухоль хромаффинных клеток мозгового вещества надпочечников, секретирующая большое количество катехоламинов (адреналина, норадреналина). Клинически проявляется злокачественной формой артериальной гипертензии. Частота встречаемости феохромоцитомы среди всех случаев артериальной гипертензии составляет около 0,1–0,6%.",-1
6,"ПОРОГОВЫЙ УРОВЕНЬ СРЕДНЕСУТОЧНОГО СИСТОЛИЧЕСКОГО АД (ММ РТ.СТ.) ДЛЯ ДИАГНОСТИКИ АГ ПО ДАННЫМ СУТОЧНОГО МОНИТОРИРОВАНИЯ АД РАВЕН:
А 130
Б 140
В 135
Г 125
",А 130,"По данным суточного мониторирования артериального давления (СМАД) диагноз артериальной гипертензии устанавливается при средних значениях систолического артериального давления (САД) 135 мм рт. ст. и выше. Это основано на рекомендациях Российского кардиологического общества и Всероссийского научного общества кардиологов. Таким образом, правильный ответ - В.
",-1
7,"ПРИ ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНИ НА ЭКГ НАИБОЛЕЕ ЧАСТО ВЫЯВЛЯЕТСЯ:
А блокада ветвей пучка Гиса
Б увеличение амплитуды зубца U
В замедление предсердно-желудочковой проводимости
Г гипертрофия левого желудочка
","Г гипертрофия левого желудочка
","Правильный ответ: Г. При гипертонической болезни наиболее часто на электрокардиограмме выявляется гипертрофия левого желудочка. Это связано с повышенной нагрузкой на сердечную мышцу, которая вынуждена усиленно работать, чтобы поддерживать уровень артериального давления. Электрокардиография позволяет выявить признаки гипертрофии уже на ранних стадиях заболевания, когда другие симптомы ещё отсутствуют.",1
8,"СЕРДЕЧНАЯ АСТМА ПРЕДСТАВЛЯЕТ СОБОЙ:
А бронхоспазм при физической нагрузке
Б приступ ночной одышки при левожелудочковой недостаточности
В бронхоспазм при правожелудочковой недостаточности
Г возникновение одышки при физической нагрузке
",Б приступ ночной одышки при левожелудочковой недостаточности,"Правильный ответ: Б. Сердечная астма представляет собой приступ ночной одышки при левожелудочковой недостаточности. Это состояние возникает вследствие застоя крови в малом круге кровообращения и интерстициального отёка лёгких.
",1
9,"НАИБОЛЕЕ ЧАСТОЙ ПРИЧИНОЙ СМЕРТИ ПАЦИЕНТОВ С ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ ЯВЛЯЕТСЯ:
А инфекционные осложнения
Б инфаркт миокарда
В тромбоэмболии
Г внезапная сердечная смерть
",Г внезапная сердечная смерть,"Правильный ответ: Г — внезапная сердечная смерть.

Пациенты с хронической сердечной недостаточностью умирают чаще всего именно от внезапной сердечной смерти.
",1
