Вопрос,Ответ,GigaChat,Результат
0," ДЛЯ ИНФАРКТА МИОКАРДА НЕ ЯВЛЯЕТСЯ ХАРАКТЕРНЫМ:    
А наличие аритмии
Б ритм галопа
В ритм перепела
Г наличие гипотонии",В ритм голопа,"Правильный ответ: В. Ритм перепела не характерен для инфаркта миокарда.

Обоснование: Инфаркт миокарда является серьезным сердечно-сосудистым заболеванием, при котором происходит гибель части сердечной мышцы из-за нарушения кровоснабжения. Аритмия (ответ А) часто встречается при инфаркте миокарда, так как нарушение электрической активности сердца может возникнуть в результате повреждения сердечной ткани. Ритм галопа (ответ Б) также может наблюдаться при инфаркте миокарда, он характеризуется быстрыми, глубокими ударами сердца. Гипотония (ответ Г), или низкое кровяное давление, также может быть связана с инфарктом миокарда, особенно если он вызывает значительное снижение сердечного выброса. Ритм перепела (ответ В) обычно не ассоциируется с инфарктом миокарда.",1
1,"ПРИ СУБЭНДОКАРДИАЛЬНОМ ПОВРЕЖДЕНИИ СЕГМЕНТ SТ РАСПОЛОЖЕН _______ ИЗОЛИНИИ С ДУГОЙ, ОБРАЩЕННОЙ ВЫПУКЛОСТЬЮ:        
А ниже; книзу
Б выше; кверху
В выше; книзу
Г ниже; кверху",А ниже; книзу,"Правильный ответ: А. При субэндокардиальном повреждении сегмент ST расположен ниже изолинии с дугой, обращенной выпуклостью книзу. Это отражает нарушение кровоснабжения внутреннего слоя миокарда.
",1
2,"НЕСТАБИЛЬНАЯ СТЕНОКАРДИЯ ПРОГНОСТИЧЕСКИ НЕБЛАГОПРИЯТНА В ПЛАНЕ РАЗВИТИЯ:       
А венозной недостаточности
Б легочной гипертензии
В инфаркта миокарда
Г тромбоэмболии мозговых сосудов",В инфаркт миокарда,"Правильный ответ: В.
Нестабильная стенокардия прогнотически неблагоприятна в плане развития инфаркта миокарда.
",1
3,"НАИБОЛЕЕ СПЕЦИФИЧЕСКИМ КЛИНИЧЕСКИМ ПРИЗНАКОМ ОСТРОЙ ЛЕВОЖЕЛУДОЧКОВОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ:        
А тахикардия
Б ортопноэ
В кровохарканье
Г отёки на нижних конечностях


",Б ортопноэ,"Наиболее специфическим клиническим признаком острой левожелудочковой недостаточности является Б — ортопноэ. Это состояние, при котором больной вынужден находиться в положении ортопноэ (лежать с поднятыми ногами) для облегчения симптомов сердечной недостаточности.",1
4,"САМЫМ ЧАСТЫМ СИМПТОМОМ ПРИ ТРОМБОЭМБОЛИИ ЛЁГОЧНОЙ АРТЕРИИ ЯВЛЯЕТСЯ:        
А кровохарканье
Б одышка
В боль за грудиной
Г потеря сознания",Б одышка,"Правильный ответ: Б. Основным симптомом тромбоэмболии лёгочной артерии является одышка. Она может возникать внезапно, быть выраженной, усиливаться при физической нагрузке. Также у пациентов могут наблюдаться боли в грудной клетке, тахикардия, кашель, кровохарканье, снижение артериального давления, цианоз, повышение температуры тела.
",1
5,"ПРИ ОСТРОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ С ОТЕКОМ ЛЕГКИХ ИСПОЛЬЗУЮТ:       
А ацетазоламид
Б маннитол
В фуросемид
Г спиронолактон
",В фуросемид,"В фуросемид

Фуросемид — петлевой диуретик, вызывающий форсированный диурез. Это свойство препарата используется для быстрого снижения гидростатического давления крови в лёгочных капиллярах и уменьшения объёма циркулирующей крови.
",1
6,"ПАЦИЕНТУ С САХАРНЫМ ДИАБЕТОМ 2 ТИПА И СТЕНОКАРДИЕЙ, ПРИНИМАЮЩЕМУ ОРГАНИЧЕСКИЕ НИТРАТЫ, НЕ РЕКОМЕНДУЕТСЯ НАЗНАЧАТЬ:       
А лираглутид
Б пиоглитазон
В глибенкламид
Г метформин",Б пиоглитазон,"Правильный ответ: А. Лираглутид.

Обоснование: Лираглутид относится к группе инкретиномиметиков, которые могут усиливать гипогликемический эффект. У пациентов со стенокардией приём органических нитратов приводит к расширению периферических вен, что может привести к усилению гипотензивного эффекта и развитию выраженной артериальной гипотонии. Приём лираглутида может усугубить данные побочные эффекты, поэтому его не рекомендуется назначать пациентам, принимающим органические нитраты.",-1
7,"СИНДРОМ МЕЖКОРОНАРНОГО ОБКРАДЫВАНИЯ ПРОВОЦИРУЕТСЯ ВНУТРИВЕННЫМ ВВЕДЕНИЕМ:        
А дипиридамола
Б нитроглицерина
В изопротеренола
Г эргоновина",А дипиридамола,"Синдром межкоронарного обкрадывания провоцируется внутривенным введением допамина.

Этот синдром развивается при наличии коллатералей между сосудами сердца, когда артериальная кровь минует стенозированный участок коронарной артерии и поступает в желудочек через анастомозы с другими ветвями коронарных артерий. При этом кровоток по стенозированному участку уменьшается, что приводит к ухудшению перфузии миокарда.",-1
8,"У ПАЦИЕНТОВ С ВАЗОСПАСТИЧЕСКОЙ СТЕНОКАРДИЕЙ СЛЕДУЕТ ИЗБЕГАТЬ НАЗНАЧЕНИЯ:        
А антагонистов кальция
Б нитратов
В ингибиторов АПФ
Г β-адреноблокаторов",Г β-адреноблокаторов,"Правильный ответ: А. Антагонисты кальция противопоказаны при вазоспастической стенокардии, так как могут спровоцировать усиление коронарного ангиоспазма.",-1
9,"ПРИЧИНОЙ НЕДОСТАТОЧНОСТИ МИТРАЛЬНОГО КЛАПАНА, ОБУСЛОВЛЕННОЙ ПОРАЖЕНИЕМ МИОКАРДА, ЯВЛЯЕТСЯ:        
А инфаркт миокарда (объём поражения 30%)
Б ишемия миокарда при нестабильной стенокардии
В дилатационная кардиомиопатия
Г инфаркт миокарда межжелудочковой перегородки",В дилатационная кардиомиопатия,"Правильный ответ: В. Дилатационная кардиомиопатия приводит к растяжению полостей сердца, в результате чего створки митрального клапана не могут полностью сомкнуться. Это приводит к регургитации крови из левого желудочка в левое предсердие во время систолы и развитию митральной недостаточности.
",1
