Вопрос,Ответ,GigaChat,Результат
0,"СЕРДЕЧНАЯ АСТМА ПРЕДСТАВЛЯЕТ СОБОЙ
А бронхоспазм при правожелудочковой недостаточности
Б бронхоспазм при физической нагрузке
В приступ ночной одышки при левожелудочковой недостаточности
Г возникновение одышки при физической нагрузке",В приступ ночной одышки при левожелудочковой недостаточности,"Правильный ответ — В. Сердечная астма представляет собой приступ ночной одышки при левожелудочковой недостаточности.
",1
1,"КЛАССИЧЕСКОЙ ТРИАДОЙ БЕКА ПРИ ОСТРОЙ ТАМПОНАДЕ СЕРДЦА ЯВЛЯЕТСЯ
А шум трения перикарда, тахипноэ, тахикардия
Б желудочковая тахикардия, цианоз, падение АД
В тахикардия, диспноэ, цианоз
Г падение АД, рост ЦВД (набухание вен шеи), глухие тоны сердца","Г падение АД, рост ЦВД (набухание вен шеи), глухие тоны сердца","Правильный ответ: Г. Пояснение: Классическая триада Бека при острой тампонаде сердца включает в себя следующие симптомы: падение артериального давления (АД), рост центрального венозного давления (ЦВД) — проявляется набуханием вен шеи, и глухость сердечных тонов.
",1
2,"ЕСЛИ У ПАЦИЕНТА С СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ НА ФОНЕ ТЕРАПИИ КАПТОПРИЛОМ В ДОЗЕ 150 МГ В СУТКИ РАЗВИЛСЯ АНГИОНЕВРОТИЧЕСКИЙ ОТЁК, ТО ТАКТИКОЙ ВРАЧА БУДЕТ
А замена каптоприла периндоприлом
Б замена каптоприла фозиноприлом
В уменьшение дозы каптоприла до 50 мг в сутки
Г отмена каптоприла и полный отказ от применения любых ингибиторов АПФ",Г отмена каптоприла и полный отказ от применения любых ингибиторов АПФ,"Правильный ответ: Г. Необходимо полностью отказаться от применения ингибиторов АПФ, так как ангионевротический отёк является побочным эффектом этих препаратов.",1
3,"ДИЛАТАЦИОННАЯ КАРДИОМИОПАТИЯ ХАРАКТЕРИЗУЕТСЯ ДИЛАТАЦИЕЙ ЛЕВОГО ЖЕЛУДОЧКА СО СНИЖЕНИЕМ ЕГО СОКРАТИТЕЛЬНОЙ СПОСОБНОСТИ
А при отсутствии инфарктов миокарда в анамнезе
Б резвившейся после перенесенного инфаркта миокарда
В вне зависимости от вызвавшей ее причины
Г не вызванной ишемией или патологией клапанов сердца",Г не вызванной ишемией или патологией клапанов сердца ,"Правильный ответ: Г. Дилатационная кардиомиопатия — первичное поражение миокарда неизвестной этиологии (в том числе генетической), которое приводит к дилатации камер сердца (чаще всего левого желудочка) и снижению их сократительной способности. При этом она развивается вне связи с ишемической болезнью сердца, врождёнными пороками или системными заболеваниями соединительной ткани.
",1
4,"ПРИ ГИПЕРТРОФИЧЕСКОЙ КАРДИОМИОПАТИИ ЛЕВОГО ЖЕЛУДОЧКА НА ЭКГ МОЖНО УВИДЕТЬ
А глубокие отрицательные зубцы Т в прекардиальных отведениях
Б удлинение интервала PQ
В элевацию сегмента ST в прекардиальных отведениях
Г укорочение интервала QТ",А глубокие отрицательные зубцы Т в прекардиальных отведениях,"В данном случае правильным будет ответ В — элевация сегмента ST в прекардиальных отведениях. Этот признак является характерным для гипертрофической кардиомиопатии левого желудочка.
",-1
5,"ПРИМЕНЕНИЕ КОМПЬЮТЕРНОЙ ТОМОГРАФИИ НЕ ПОЗВОЛЯЕТ ОЦЕНИТЬ
А наличие опухолей и внутрисердечных тромбов
Б объем выпота в полости перикарда
В состояние створок клапанов сердца
Г толщину стенок и размеры полостей сердца",В состояние створок клапанов сердца,"Правильный ответ: А.
При компьютерной томографии нельзя оценить наличие опухолей и внутрисердечных тромбов.
",-1
6,"ПРИ РАСЧЕТЕ РИСКА ВНЕЗАПНОЙ СМЕРТИ У БОЛЬНЫХ С ГКМП УЧИТЫВАЮТ
А отягощенный семейный анамнез в отношении внезапной смерти
Б полную блокаду правой ножки пучка Гиса
В ишемические изменения на ЭКГ
Г полную блокаду левой ножки пучка Гиса",А отягощенный семейный анамнез в отношении внезапной смерти,Правильный ответ: А. Отягощённый семейный анамнез в отношении внезапной смерти имеет наибольшее значение для оценки риска внезапной сердечной смерти у пациентов с гипертрофической кардиомиопатией (ГКМП). Это заболевание характеризуется генетической гетерогенностью и часто носит семейный характер. При наличии случаев внезапной смерти среди близких родственников пациента риск развития этого осложнения увеличивается.,1
7,"К ОСНОВНЫМ ГРУППАМ ГИПОТЕНЗИВНЫХ ПРЕПАРАТОВ ОТНОСЯТ
А альфа-адреноблокаторы
Б препараты центрального действия (блокаторы имидазолиновых рецепторов)
В диуретики, бета-адреноблокаторы, антагонисты кальция, ингибиторы АПФ, антагонисты рецепторов к АТ II
Г сердечные гликозиды, нитраты","В диуретики, бета-адреноблокаторы, антагонисты кальция, ингибиторы АПФ, антагонисты рецепторов к АТ II","Правильный ответ: В. Диуретики, бета-адреноблокаторы, антагонисты кальция, ингибиторы АПФ, антагонисты рецепторов к АТ II. Это основные группы гипотензивных препаратов, применяемых для лечения артериальной гипертензии. Они обладают различными механизмами действия, но все направлены на снижение артериального давления.
",1
8,"ЭФФЕКТИВНЫМ МЕТОДОМ ЛЕЧЕНИЯ СИНДРОМА НОЧНОГО АПНОЭ ЯВЛЯЕТСЯ
А пластика язычка и нёбных дужек
Б ангиопластика коронарных артерий
В СРАР-терапия
Г лазерная пластика мягкого нёба",В СРАР-терапия ,"Правильный ответ: В. Синдром ночного апноэ — это состояние, при котором у человека во время сна происходит остановка дыхания. Причиной этого могут быть анатомические особенности верхних дыхательных путей, в частности, увеличенный язычок и нёбные дужки. Пластика этих структур может улучшить ситуацию, но не всегда является эффективным методом лечения. Ангиопластика коронарных артерий вообще не имеет отношения к синдрому ночного апноэ. СРАР-терапия (Constant Positive Airway Pressure) — это метод лечения, который заключается в создании постоянного положительного давления в дыхательных путях, что предотвращает их спадение и обеспечивает нормальное дыхание во время сна. Лазерная пластика мягкого нёба также может использоваться для лечения синдрома ночного апноэ, но её эффективность ниже, чем у СРАР-терапии.",1
9,"ОТНОСИТЕЛЬНЫМ ПРОТИВОПОКАЗАНИЕМ ДЛЯ НАЗНАЧЕНИЯ ТИАЗИДНЫХ ДИУРЕТИКОВ ЯВЛЯЕТСЯ
А сахарный диабет
Б гиперкалиемия
В застойная сердечная недостаточность
Г беременность",А сахарный диабет ,"Правильный ответ: А — сахарный диабет.

Тиазидные диуретики противопоказаны при наличии у пациента сахарного диабета ввиду того, что они могут вызывать повышение уровня глюкозы в крови.
",1
