Вопрос,Ответ,GigaChat,Результат
0,"К БЛОКАТОРАМ РЕЦЕПТОРОВ АНГИОТЕНЗИНА, РАЗРЕШЕННЫМ К ПРИМЕНЕНИЮ У ПАЦИЕНТОВ С СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ, ОТНОСЯТ   
А ирбесартан
Б эпросартан
В кандесартан, валсартан
Г телмисартан","В кандесартан, валсартан","В данном случае правильным ответом будет вариант ""В"". В этот список входят препараты кандесартан и валсартан. Они относятся к классу блокаторов рецепторов ангиотензина и разрешены для применения у пациентов с сердечной недостаточностью. Эти препараты помогают снижать кровяное давление и улучшать состояние сердца.
",1.0
1,"К ПРЕПАРАТАМ, ПРИМЕНЯЕМЫМ ДЛЯ ПЕРВИЧНОЙ ПРОФИЛАКТИКИ ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ, ОТНОСЯТ     
А ацетилсалициловую кислоту
Б ингибиторы АПФ
В варфарин
Г блокаторы медленных Са-каналов",Б ингибиторы АПФ,"Правильный ответ: Б. Ингибиторы АПФ относятся к препаратам, применяемым для первичной профилактики хронической сердечной недостаточности. Они помогают предотвратить развитие этого состояния у пациентов с высоким риском, таких как люди с артериальной гипертензией или ишемической болезнью сердца.",1.0
2,"АНТАГОНИСТЫ АЛЬДОСТЕРОНА РЕКОМЕНДУЮТСЯ ВСЕМ ПАЦИЕНТАМ С ХСН 
А I ФК и ФВ ЛЖ ≥ 40%
Б II-IV ФК и ФВ ЛЖ ≤ 40%
В I ФК и ФВ ЛЖ ≤ 40%
Г II-IV ФК и ФВ ЛЖ ≥ 40%",Б II-IV ФК и ФВ ЛЖ ≤ 40%,"Правильный ответ: Б. Согласно современным клиническим рекомендациям, антагонисты альдостерона (спиронолактон) показаны всем пациентам с хронической сердечной недостаточностью и снижением фракции выброса левого желудочка менее 40%.",1.0
3,"РАННИЙ ПРОТЕЗНЫЙ ИНФЕКЦИОННЫЙ ЭНДОКАРДИТ РАЗВИВАЕТСЯ ДО ___ МЕСЯЦЕВ ПОСЛЕ ОПЕРАЦИИ НА КЛАПАНАХ 	
А 18
Б 14
В 16
Г 12",Г 12,Правильный ответ — В. Развитие раннего протезного инфекционного эндокардита происходит до 16 месяцев после операции на клапанах.,-1.0
4,"ДЛЯ ЭНДОКАРДИТА ЛЕФФЛЕРА ХАРАКТЕРНЫ 	
А проявления гипертрофия межжелудочковой перегородки
Б лихорадка, кашель, сыпь
В боли в животе
Г боли в горле","Б лихорадка, кашель, сыпь","Правильный ответ: Б. Эндокардит Леффлера — это форма эндокардита, которая характеризуется образованием вегетаций на клапанах сердца, что приводит к их дисфункции. Основными клиническими проявлениями являются лихорадка, кашель и сыпь.
",1.0
5,"ПАТОГНОМОНИЧНЫМ ПРИЗНАКОМ ИНФЕКЦИОННОГО ЭНДОКАРДИТА ЯВЛЯЕТСЯ
А появление шумов в сердце
Б появление вегетаций на клапанах при эхокардиографии
В нарастание явлений сердечной недостаточности
Г значительное ускорение СОЭ",Б появление вегетаций на клапанах при эхокардиографии,Правильный ответ: Б. Патогномоничным признаком инфекционного эндокардита является появление вегетаций на клапанах сердца при эхокардиографии. Вегетации образуются вследствие фиксации микроорганизмов к створкам клапанов и последующего их внедрения в подклапанный слой. Этот признак позволяет установить точный диагноз и начать специфическую терапию.,1.0
6,"НАИБОЛЕЕ ЭФФЕКТИВНЫМ СПОСОБОМ ЛЕЧЕНИЯ ЖИЗНЕОПАСНЫХ ЖЕЛУДОЧКОВЫХ АРИТМИЙ ЯВЛЯЕТСЯ
А имплантация кардиовертера-дефибриллятора
Б назначение антиаритмических препаратов
В радиочастотная катетерная деструкция
Г  имплантация электрокардиостимулятора",А имплантация кардиовертера- дефибриллятора ,"Правильный ответ: А — имплантация кардиовертера-дефибриллятора.

Данный метод лечения является наиболее эффективным при жизнеугрожающих желудочковых нарушениях ритма сердца. Кардиовертер-дефибриллятор способен регистрировать желудочковую тахикардию или фибрилляцию желудочков и своевременно наносить электрический разряд, восстанавливающий синусовый ритм. Данный метод позволяет снизить смертность от внезапной сердечной смерти у пациентов группы высокого риска.
",1.0
7,"СНИЖАТЬ ЭФФЕКТ ОТ ПРИЕМА ВАРФАРИНА МОЖЕТ УПОТРЕБЛЕНИЕ В ПИЩУ
А помидоров
Б баклажанов
В чеснока
Г шпината",Г шпината,"Правильный ответ: Г. Шпинат содержит витамин К, который может снижать эффект от приема варфарина. Варфарин является антикоагулянтом, он работает путем ингибирования витамина К, который играет важную роль в свертывании крови. Если вы употребляете продукты, богатые витамином К, такие как шпинат, это может снизить эффективность варфарина.
",1.0
8,"ДЛЯ КУПИРОВАНИЯ ПРИСТУПА ЖЕЛУДОЧКОВОЙ ТАХИКАРДИИ В ПЕРВУЮ ОЧЕРЕДЬ ИСПОЛЬЗУЮТ
А лидокаин
Б аденозин (АТФ)
В метопролол
Г дигоксин",А лидокаин,"Правильный ответ: А. Лидокаин — антиаритмический препарат класса Ib, который используется для купирования приступа желудочковой тахикардии.",1.0
9,"ПАЦИЕНТУ С АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ, ОСНОВНАЯ ПРОФЕССИЯ КОТОРОГО - МАШИНИСТ ЛОКОМОТИВА, МОЖНО ОПРЕДЕЛИТЬ III ГРУППУ ИНВАЛИДНОСТИ НА ПЕРИОД ВРЕМЕНИ
А бессрочно
Б 6 месяцев
В 1 год
Г 3 года",В 1 год,"Согласно действующему законодательству Российской Федерации, инвалидность III группы у пациента с артериальной гипертензией может быть определена на период времени до одного года. Это связано с тем, что данная группа инвалидности обычно присваивается людям, способным выполнять свои трудовые обязанности в облегченных условиях, и в большинстве случаев состояние здоровья таких пациентов стабилизируется в течение года.",0.0
