Вопрос,Ответ,GigaChat,Результат
0,"«ЗОЛОТЫМ» СТАНДАРТОМ ДИАГНОСТИКИ МИОКАРДИТА ЯВЛЯЕТСЯ
А коронарография
Б эндомиокардиальная биопсия
В оценка маркеров повреждения миокарда
Г оценка уровня аутоантител к кардиомиоцитам",Б эндомиокардиальная биопсия,"В данном случае правильным ответом будет вариант В — оценка маркеров повреждения миокарда.

Эндомиокардиальная биопсия (вариант Б) обладает низкой чувствительностью и специфичностью, а также часто даёт ложноположительные результаты. Поэтому этот метод не является золотым стандартом диагностики миокардита.

Коронарография (вариант А) используется для оценки состояния коронарных артерий при подозрении на ишемическую болезнь сердца, но не для диагностики миокардита.

Оценка уровня аутоантител к кардиомиоцитам (вариант Г) может использоваться в качестве вспомогательного метода диагностики миокардита, но не является золотым стандартом.
",-1
1,"НАИБОЛЕЕ ЧАСТОЙ ПРИЧИНОЙ МИОКАРДИТА ЯВЛЯЮТСЯ
А риккетсии
Б вирусы
В бактерии
Г простейшие",Б вирусы ,"Наиболее частой причиной миокардита являются вирусы (вариант Б). Это связано с тем, что вирусы являются наиболее распространенными инфекционными агентами, способными вызывать воспаление сердечной мышцы. Вирусный миокардит может возникнуть после различных вирусных инфекций, включая грипп, энтеровирусы, вирусы герпеса и другие. Бактерии, риккетсии и простейшие также могут вызывать миокардит, но это встречается реже и обычно связано с определенными условиями или ослаблением иммунной системы.


",1
2,"У ПАЦИЕНТОВ С ГКМП И СКРЫТОЙ ОБСТРУКЦИЕЙ ГРАДИЕНТ ДАВЛЕНИЯ В ВЫХОДНОМ ОТДЕЛЕ ЛЕВОГО ЖЕЛУДОЧКА СОСТАВЛЯЕТ (В ММ РТ. СТ.) ________ В ПОКОЕ И __________ ПРИ НАГРУЗКЕ
А более 20; менее 20
Б менее 20; более 20
В менее 30; более 30
Г более 30; менее 30",В менее 30; более 30 ,"Правильный ответ: А. У пациентов с гипертрофической кардиомиопатией (ГКМП) и скрытой обструкцией градиент давления в выходном отделе левого желудочка составляет более 20 мм рт. ст. в покое и менее 20 мм рт. ст. при нагрузке.

Этот ответ основан на особенностях патофизиологии ГКМП. При этой патологии происходит утолщение межжелудочковой перегородки сердца, что может привести к сужению выходного отдела левого желудочка и, как следствие, к увеличению давления в этом отделе. Это увеличение давления называется градиентом давления. В покое у пациентов со скрытой обструкцией градиент давления обычно превышает 20 мм рт. ст., но при нагрузке он снижается до уровня менее 20 мм рт. ст.
",-1
3,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ МЕТОДОМ ИНСТРУМЕНТАЛЬНОЙ ДИАГНОСТИКИ МИОКАРДИТА ВЫСТУПАЕТ
А перфузионная сцинтиграфия миокарда
Б чреспищеводная и трансторакальная эхокардиография
В магнитно-резонансная томография
Г рентгенография органов грудной клетки",В магнитно-резонансная томография ,"Наиболее информативным методом инструментальной диагностики миокардита выступает В магнитно-резонансная томография.

Обоснование:
Магнитно-резонансная томография (МРТ) позволяет визуализировать структуру миокарда, оценить его функцию и дифференцировать различные типы поражения сердечной мышцы. Кроме того, МРТ может обнаруживать воспалительные изменения в миокарде, что является характерным для миокардита. Другие методы, такие как перфузионная сцинтиграфия миокарда, чреспищеводная и трансторакальная эхокардиография и рентгенография органов грудной клетки, также могут использоваться в диагностике миокардита, но они не предоставляют такой полной информации о состоянии миокарда, как МРТ.",1
4,"КАКОЙ ПРЕПАРАТ ОБЛАДАЕТ НАИБОЛЬШИМ ЭФФЕКТОМ ПО СНИЖЕНИЮ ХС ЛПНП И УМЕНЬШЕНИЮ РИСКА СЕРДЕЧНО-СОСУДИСТЫХ СОБЫТИЙ ПРИ ЕГО ДОБАВЛЕНИИ К СТАТИНАМ В СЛУЧАЯХ, ЕСЛИ ЦЕЛЕВОЙ УРОВЕНЬ ХС ЛПНП НА МОНОТЕРАПИИ СТАТИНАМИ НЕ ДОСТИГНУТ?
А эзетимиб
Б фенофибрат
В ингибитор PCSK9
Г никотиновая кислота",В ингибитор PCSK9 ,"Правильный ответ: В ингибитор PCSK9.

Ингибиторы PCSK9 обладают наибольшим эффектом по снижению уровня холестерина липопротеинов низкой плотности (ХС ЛПНП) и уменьшению риска сердечно-сосудистых событий при добавлении к статинам в случаях, если целевой уровень ХС ЛПНП не достигнут на монотерапии статинами. Это связано с тем, что ингибиторы PCSK9 блокируют белок PCSK9, который разрушает рецепторы ЛПНП в печени, что приводит к увеличению числа рецепторов и усилению удаления холестерина из крови.",1
5,"ПРИ КАРДИОГЕННОМ ОТЕКЕ ЛЕГКИХ ПРОТИВОПОКАЗАНО НАЗНАЧЕНИЕ
А петлевых диуретиков
Б β-адреноблокаторов
В глюкокортикостероидов
Г вазопрессорных аминов",Б β-адреноблокаторов ,"В данном случае противопоказано назначение Г — вазопрессорных аминов. Они вызывают сужение сосудов и увеличивают нагрузку на сердце, что может усугубить отек легких.
",-1
6,"АНТИАРИТМИЧЕСКИМ ПРЕПАРАТОМ III КЛАССА ЯВЛЯЕТСЯ
А пропранолол
Б амиодарон
В метопролол
Г прокаинамид",Б амиодарон ,"Правильный ответ: Б — амиодарон.

Препараты класса III — это блокаторы калиевых каналов. Амиодарон обладает выраженным антиаритмическим действием благодаря блокаде калиевых каналов кардиомиоцитов.",1
7,"НЕГАТИВНОЕ ВЛИЯНИЕ НА ЛИПИДНЫЙ ПРОФИЛЬ ОТСУТСТВУЕТ ПРИ ЛЕЧЕНИИ
А ингибиторами АПФ
Б β-адреноблокаторами
В кортикостероидами
Г тиазидовыми диуретиками",А ингибиторами АПФ ,"А
",0
8,"БОЛЬШИМ КРИТЕРИЕМ ДИАГНОСТИКИ ИНФЕКЦИОННОГО ЭНДОКАРДИТА ЯВЛЯЕТСЯ ________ РЕЗУЛЬТАТ ПОСЕВА КРОВИ
А отрицательный; но высокий титр антител к Brucella
Б положительный; в одной из двух проб, взятых с интервалом более 12 часов
В положительный; в обеих пробах, взятых с интервалом 5 минут
Г положительный; в трёх пробах, взятых с интервалом 30 минут между первой и последней","Г положительный; в трёх пробах, взятых с интервалом 30 минут между первой и последней ","Правильный ответ: Б. Положительный результат посева крови в одной из двух проб, взятых с интервалом более 12 часов, является большим критерием диагностики инфекционного эндокардита. Это связано с тем, что для подтверждения наличия инфекции в организме необходимо обнаружить бактерии в крови. Если они присутствуют в одной из двух проб, взятых с определенным интервалом времени, это говорит о том, что инфекция активна и присутствует в организме. Титр антител к Brucella может быть высоким при наличии инфекции, но сам по себе он не является достаточным критерием для диагностики инфекционного эндокардита.",-1
9,"К ФАКТОРАМ, ПРЕДРАСПОЛАГАЮЩИМ К РЕЦИДИВАМ ИНФЕКЦИОННОГО ЭНДОКАРДИТА, ОТНОСЯТ
А поражение протезного клапана
Б сопутствующую хроническую болезнь почек
В поражение нативного клапана
Г вегетации",А поражение протезного клапана,"Правильный ответ: А. Поражение протезного клапана.

Обоснование: Поражение протезного клапана является одним из наиболее значимых факторов риска рецидива инфекционного эндокардита. Это связано с тем, что искусственные материалы, используемые при протезировании клапанов, могут способствовать адгезии бактерий и формированию вегетаций, что повышает риск развития инфекции. Кроме того, пациенты с протезированными клапанами часто получают антибактериальную профилактику перед медицинскими процедурами, что может привести к селекции устойчивых к антибиотикам штаммов бактерий.",1
