Вопрос,Ответ,GigaChat,Результат
0,"СОГЛАСНО РЕКОМЕНДАЦИЯМ ВОЗ ДЛЯ СНИЖЕНИЯ ПОКАЗАТЕЛЕЙ СЕРДЕЧНО-СОСУДИСТОЙ ЗАБОЛЕВАЕМОСТИ И СМЕРТНОСТИ, СОДЕРЖАНИЕ ТРАНС-ИЗОМЕРНЫХ ЖИРНЫХ КИСЛОТ В ПРОДУКТАХ ПИТАНИЯ НЕ ДОЛЖНО ПРЕВЫШАТЬ (В %)
А 3
Б 4        
В 1
Г 8",В 1 ,"Правильный ответ — Г. Согласно рекомендациям Всемирной организации здравоохранения для снижения показателей сердечно-сосудистой заболеваемости и смертности содержание транс-изомерных жирных кислот в продуктах питания не должно превышать восьми процентов.
",-1
1,"ДЛЯ IV ФЕНОТИПА ДИСЛИПИДЕМИЙ ХАРАКТЕРНО
А повышение содержания липопротеидов очень низкой плотности и триглицеридов
Б повышение содержания липопротеидов низкой плотности, общего холестерина и триглицеридов
В снижение содержания липопротеидов высокой плотности и повышение общего холестерина
Г повышение содержания хиломикронов и триглицеридов",А повышение содержания липопротеидов очень низкой плотности и триглицеридов ,"Правильный ответ: Б. Для IV фенотипа дислипидемий характерно повышение содержания липопротеидов низкой плотности, общего холестерина и триглицеридов. Этот фенотип также известен как гиперлипопротеинемия типа IIb. Он ассоциирован с повышенным риском развития сердечно-сосудистых заболеваний, таких как атеросклероз.
",-1
2,"ЦЕЛЕВЫМ ЗНАЧЕНИЕМ ЛПНП ДЛЯ ПАЦИЕНТОВ С СД 2 ТИПА В СОЧЕТАНИИ С ИБС ЯВЛЯЕТСЯ УРОВЕНЬ МЕНЕЕ (В ММОЛЬ/Л)
А 1,4
Б 2,0
В 2,5
Г 3,0","А 1,4","Правильный ответ: Г. Целевым значением ЛПНП для пациентов с сахарным диабетом второго типа в сочетании с ишемической болезнью сердца является уровень менее 3,0 ммоль/л. Это связано с тем, что такие пациенты имеют повышенный риск развития сердечно-сосудистых осложнений, поэтому им рекомендуется придерживаться более строгих норм липидного профиля.
",-1
3,"ПО ШКАЛЕ SCORE МОЖНО ОПРЕДЕЛИТЬ РИСК
А смерти от сердечно-сосудистых осложнений за 10 лет
Б развития инфаркта миокарда
В развития любых сердечно- сосудистых осложнений
Г развития тромбоэмболических осложнений",А смерти от сердечно-сосудистых осложнений за 10 лет ,"Правильный ответ: В.

Шкала SCORE (Systematic Coronary Risk Evaluation) используется для оценки риска развития любых сердечно-сосудистых осложнений в течение 10 лет. Она учитывает пол, возраст, курение, систолическое артериальное давление, холестерин и наличие сахарного диабета.
",-1
4,"ПЕРВАЯ ДОЗА НАЗНАЧЕНИЯ БИСОПРОЛОЛА У БОЛЬНЫХ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ СОСТАВЛЯЕТ (В МГ)
А 5
Б 12,5
В 10
Г 1,25","Г 1,25 ","Правильный ответ: Г.
Начальная доза бисопролола у больных сердечной недостаточностью составляет 1,25 мг. Это связано с тем, что бета-адреноблокаторы могут вызывать обострение сердечной недостаточности, поэтому их следует начинать принимать с очень низкой дозы под тщательным медицинским наблюдением. Постепенно дозу можно увеличивать до достижения оптимального эффекта и переносимости препарата.
",1
5,"ИЗБЫТОЧНОЕ ОБРАЗОВАНИЕ АЛЬДОСТЕРОНА СОПРОВОЖДАЕТСЯ
А задержкой натрия и воды
Б повышением активности симпато-адреналовой системы
В уменьшением минутного объема сердца
Г уменьшением общего периферического сосудистого сопротивления",А задержкой натрия и воды,"Правильный ответ: А. Избыточное образование альдостерона сопровождается задержкой натрия и воды.

Объяснение: Альдостерон — это гормон коры надпочечников, который регулирует обмен натрия и калия в организме. Он стимулирует реабсорбцию (обратное всасывание) натрия в дистальных канальцах нефронов почек, что приводит к задержке натрия и воды в организме. Это происходит для поддержания объема крови и кровяного давления. Таким образом, увеличение образования альдостерона ведет к задержке натрия и воды.",1
6,"ОСНОВНЫМИ ПРЕПАРАТАМИ, ПРИМЕНЯЕМЫМИ ПРИ ЛЕЧЕНИИ ГИПЕРТРОФИЧЕСКОЙ КАРДИОМИОПАТИИ, ЯВЛЯЮТСЯ
А сердечные гликозиды
Б сердечные гликозиды и диуретики
В бета-блокаторы и антагонисты кальция
Г периферические вазодилататоры",В бета-блокаторы и антагонисты кальция ,"В периферические вазодилататоры

При гипертрофической кардиомиопатии происходит утолщение стенок желудочков сердца, что может привести к нарушению кровотока. Периферические вазодилататоры помогают расширить кровеносные сосуды, улучшая таким образом кровообращение и снижая нагрузку на сердце. Бета-блокаторы и антагонисты кальция могут использоваться для контроля частоты сердечных сокращений и снижения артериального давления, но они не являются основными препаратами при лечении гипертрофической кардиомиопатии. Сердечные гликозиды и диуретики могут быть назначены для управления симптомами, такими как одышка и отек, но они также не являются основными препаратами для лечения этого заболевания.
",0
7,"БЕЗРАБОТНОМУ ЛИСТОК НЕТРУДОСПОСОБНОСТИ
А выдаётся при наличии у него документа о постановке на учёт по безработице
Б не выдаётся
В выдаётся в случае госпитализации
Г выдаётся только при ургентном заболевании",Б не выдаётся ,"В данной ситуации правильным ответом будет вариант В – листок нетрудоспособности выдаётся безработному гражданину в случае его госпитализации. Обоснование этого выбора следующее: листок нетрудоспособности (больничный лист) является документом, подтверждающим временную нетрудоспособность работника или учащегося. Безработный гражданин также может столкнуться с ситуацией, когда ему требуется медицинская помощь и лечение, особенно если он был госпитализирован. В этом случае листок нетрудоспособности выдаётся для подтверждения периода болезни и возможности получения пособия по временной нетрудоспособности.",-1
8,"ЛИСТОК НЕТРУДОСПОСОБНОСТИ ИМЕЕТ ПРАВО ВЫДАВАТЬ (ФОРМИРОВАТЬ)
А врач скорой помощи
Б врач станции переливания крови
В санитарный врач
Г врач травматологического пункта",Г врач травматологического пункта,"Правильный ответ — Г. Листок нетрудоспособности (больничный лист) выдаёт только врач медицинской организации, к которой относится пациент. Это регламентируется Приказом Минздравсоцразвития РФ от 29 июня 2011 г. № 624н «Об утверждении Порядка выдачи листков нетрудоспособности». Согласно этому документу, листок нетрудоспособности выдаётся пациенту при предъявлении им паспорта или другого документа, удостоверяющего личность. Врач может выдать больничный лист сроком до 15 календарных дней. Если больному требуется продлить этот срок, то решение о продлении принимается врачебной комиссией данной медицинской организации.",1
9,"РАБОТНИКАМ ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ, ВОДОСНАБЖЕНИЯ, ДЕТСКИХ УЧРЕЖДЕНИЙ ПРИ НАЛИЧИИ У НИХ ГЕЛЬМИНТОЗА ЛИСТОК НЕТРУДОСПОСОБНОСТИ ФОРМИРУЕТСЯ (ВЫДАЕТСЯ) НА
А весь период дегельминтизации
Б 10 дней
В 5 дней
Г 7 дней",А весь период дегельминтизации,"Правильный ответ: А. Весь период дегельминтизации.

Работникам предприятий общественного питания, водоснабжения и детских учреждений при наличии у них гельминтоза листок нетрудоспособности формируется (выдаётся) на весь период дегельминтизации. Это связано с тем, что данные работники имеют повышенный риск распространения гельминтозов среди населения, особенно если они работают с продуктами питания или водой. Поэтому им предоставляется возможность пройти полный курс лечения и восстановления без необходимости возвращаться к работе до полного выздоровления.",1
