Вопрос,Ответ,Perplexity,Результат
0,"МОДИФИЦИРУЕМЫМ ФАКТОРОМ РИСКА РАЗВИТИЯ АТЕРОСКЛЕРОЗА ЯВЛЯЕТСЯ
А мужской пол
Б сахарный диабет 2 типа
В отягощённая наследственность
Г возраст",Б сахарный диабет 2 типа,"The correct answer to the question ""МОДИФИЦИРУЕМЫМ ФАКТОРОМ РИСКА РАЗВИТИЯ АТЕРОСКЛЕРОЗА ЯВЛЯЕТСЯ"" is option B - сахарный диабет 2 типа. This is because while factors like мужской пол (male gender), отягощённая наследственность (family history), and возраст (age) are risk factors for atherosclerosis, they are non-modifiable. On the other hand, сахарный диабет 2 типа (type 2 diabetes) is a modifiable risk factor as its management and control can significantly reduce the risk of developing atherosclerosis[1][2]. Therefore, choosing option B is supported by the fact that controlling and managing type 2 diabetes through lifestyle changes and medical interventions can effectively reduce the risk of atherosclerosis.

Citations:
[1] https://www.kinopoisk.ru/series/1046574/
[2] https://yummy-anime.org/1303-pravilnyj-otvet-kado.html
[3] https://context.reverso.net/%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4/%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9-%D0%B0%D0%BD%D0%B3%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9/%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%2B%D0%BE%D1%82%D0%B2%D0%B5%D1%82
[4] https://context.reverso.net/%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4/%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9-%D0%B0%D0%BD%D0%B3%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%2B%D0%BE%D1%82%D0%B2%D0%B5%D1%82
[5] https://www.translate.ru/%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%BA%D1%81%D1%82%D1%8B/%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9-%D0%B0%D0%BD%D0%B3%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9/%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BE%D1%82%D0%B2%D0%B5%D1%82",1
1,"АБСОЛЮТНЫМ ПРОТИВОПОКАЗАНИЕМ К ПРИЕМУ СЕКВЕСТРАНТОВ ЖЕЛЧНЫХ КИСЛОТ ЯВЛЯЕТСЯ
А	жировой гепатоз
Б	детский возраст до 10 лет
В	выраженная гипертриглицериемия
Г	беременность и кормление грудью",В  выраженная гипертриглицериемия,"Для данного вопроса абсолютным противопоказанием к приёму секвестрантов желчных кислот является беременность и кормление грудью. Это обосновано тем, что в период беременности и лактации применение секвестрантов желчных кислот может негативно повлиять на развитие плода и здоровье ребёнка через грудное молоко.",-1
2,"ПРИ УМЕРЕННОМ СУММАРНОМ КАРДИОВАСКУЛЯРНОМ РИСКЕ ПО SCORE НАЗНАЧЕНИЕ ГИПОЛИПИДЕМИЧЕСКОЙ ЛЕКАРСТВЕННОЙ ТЕРАПИИ ВОЗМОЖНО ПРИ УРОВНЕ ХС ЛПНП В ОТСУТСТВИЕ ЭФФЕКТА ОТ НЕМЕДИКАМЕНТОЗНОЙ ТЕРАПИИ (ESC, 2016) ______ ММОЛЬ/Л И ВЫШЕ
А        1,8
Б        4,0
В        5,0
Г        2,5","Г        2,5","The question pertains to the assignment of hypolipidemic drug therapy based on the level of LDL cholesterol (ХС ЛПНП) in the absence of an effect from non-drug therapy, considering a moderate overall cardiovascular risk score. The correct answer is option ""Г"" - 2.5 ммоль/л и выше. This choice aligns with the European Society of Cardiology (ESC) guidelines from 2016, which recommend initiating hypolipidemic drug therapy when the LDL cholesterol level is 2.5 mmol/L or higher in cases where there is no response to non-drug therapy[5]. This decision is based on the specific cardiovascular risk assessment and treatment guidelines outlined by the ESC in 2016.

Citations:
[1] https://apcra.net/documents/10162/fce74f2d-2b01-d091-d017-6b974abf1bf1
[2] https://www.linkhaitao.com/tool.php?mod=adlink&track=d473JyM_api_aR2O7qdFjzkg1MUsYvktt_b2L9qeFlr4slVEhOSImny&u=http%3A%2F%2F%D0%BC%D0%B8%D1%82%D1%81%D1%83%D0%B1%D0%B8%D1%81%D0%B8-%D1%8D%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%B8%D0%BA24.%D1%80%D1%84%2FRfa0q6m8r36v53zhourycn26fe53
[3] http://jockeysp.com.br/rotator.asp?url=http%3A%2F%2F%D1%88%D0%BA%D0%BE%D0%BB%D0%B075.%D1%80%D1%84%2FAYnI4P8817fe
[4] https://files.eric.ed.gov/fulltext/ED015640.pdf
[5] https://www.tdx.cat/bitstream/10803/97043/2/TMDP1de1.pdf.txt",1
3,"НАИБОЛЕЕ ЭФФЕКТИВНЫМ МЕТОДОМ НЕМЕДИКАМЕНТОЗНОГО ПОВЫШЕНИЯ УРОВНЯ ЛИПОПРОТЕИДОВ ВЫСОКОЙ ПЛОТНОСТИ В КРОВИ ЯВЛЯЕТСЯ
А        снижение избыточной массы тела
Б        умеренное употребление алкоголя
В        употребление продуктов богатых клетчаткой
Г        физическая активность",Г физическая активность,"To increase high-density lipoprotein (HDL) levels in the blood through non-pharmacological means, the most effective method is[1]:

- Choice: **Physical activity (Г)**.
  
Regular physical activity has been shown to raise HDL cholesterol levels, which is beneficial for heart health. Exercise helps improve the body's ability to transport cholesterol in the blood, leading to an increase in HDL levels. This method is supported by research and is a well-established way to enhance HDL cholesterol levels naturally.

Citations:
[1] https://www.yaklass.ru/p/matematika-pro/2-uroven/mnozhestva-i-operatcii-nad-nimi-7181225/zadachi-na-privedenie-k-edinitce-7222300/re-4bbf45ac-dbe1-4701-930b-42f98bc895d1
[2] https://otvet.mail.ru/question/51230972
[3] https://rus.meta.stackexchange.com/questions/204/%D0%9A%D0%B0%D0%BA%D0%B8%D0%BC-%D0%B4%D0%BE%D0%BB%D0%B6%D0%B5%D0%BD-%D0%B1%D1%8B%D1%82%D1%8C-%D1%85%D0%BE%D1%80%D0%BE%D1%88%D0%B8%D0%B9-%D0%BE%D1%82%D0%B2%D0%B5%D1%82-%D0%BD%D0%B0-%D0%B7%D0%B0%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9-%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81
[4] https://uchi.ru/otvety/questions/zadanie-1-viberite-pravilniy-otvet-1-choose-the-best-definition-invaluable-a-extremely-us
[5] https://www.yaklass.ru/p/history/5-klass/drevnii-rim-6002400/ustanovlenie-gospodstva-nad-italiei-6171793/re-0364c8f1-10e1-42d2-bb8a-28e2bae41c3d",1
4,"ИСКЛЮЧЕНИЕ ПОВАРЕННОЙ СОЛИ ИЗ РАЦИОНА БОЛЬНЫХ ПРИ ОБОСТРЕНИИ ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНИ РЕКОМЕНДУЕТСЯ НА (В ДНЯХ)
А        30
Б        1-2
В        21
Г        7-10",Г        7-10,"Ответ: Б 1-2

Обоснование: Исключение поваренной соли из рациона больных при обострении гипертонической болезни рекомендуется на 1-2 дня.",-1
5,"У МУЖЧИНЫ 78 ЛЕТ С АДЕНОМОЙ ПРОСТАТЫ ПРЕДПОЧТИТЕЛЬНО НАЧАТЬ ЛЕЧЕНИЕ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИИ С НАЗНАЧЕНИЯ
А        доксазозина
Б        кандесартана
В        гидрохлортиазида
Г        карведилола",А        доксазозина,"Для мужчины в возрасте 78 лет с аденомой простаты и артериальной гипертензией предпочтительным вариантом начала лечения является назначение кандесартана (Б). Кандесартан относится к классу препаратов - блокаторов рецепторов ангиотензина II (ARA II), который эффективно снижает давление и улучшает состояние сердечно-сосудистой системы у пациентов с артериальной гипертензией. Кандесартан также может быть безопасным и эффективным выбором для пациентов с аденомой простаты, так как он обладает хорошим профилем переносимости и не оказывает негативного влияния на функцию простаты.",-1
6,"ПРЕПАРАТАМИ ВЫБОРА ДЛЯ ЛЕЧЕНИЯ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИИ У ПАЦИЕНТОВ С ПОДАГРОЙ ЯВЛЯЮТСЯ
А        бета-блокаторы
Б        прямые ингибиторы ренина
В        тиазидные диуретики
Г        сартаны",Г	сартаны,"Ответ: В - тиазидные диуретики.

Обоснование:
Тиазидные диуретики являются одним из предпочтительных классов препаратов для лечения артериальной гипертензии у пациентов с подагрой. Они рекомендуются в качестве первой линии терапии для большинства пациентов с артериальной гипертензией и подагрой, так как они обладают не только гипотензивным эффектом, но и способствуют снижению уровня мочевой кислоты в организме, что важно при лечении подагры.",-1
7,"ПОБОЧНЫМ ЭФФЕКТОМ ПРЕПАРАТА ИЗ ГРУППЫ БЛОКАТОРОВ МЕДЛЕННЫХ КАЛЬЦИЕВЫХ КАНАЛОВ НИФЕДИПИНА ЯВЛЯЕТСЯ
А	гипертонический криз
Б	синусовая тахикардия
В	цереброваскулярная недостаточность
Г	диабетическая нефропатия",Б синусовая тахикардия,"Ответ: **А гипертонический криз**

Побочным эффектом препарата из группы блокаторов медленных кальциевых каналов, такого как нифедипин, является гипертонический криз. Гипертонический криз - это острое состояние, характеризующееся резким и значительным повышением артериального давления, которое может быть вызвано применением данного препарата.",-1
8,"ПРАВО ГРАЖДАН НА ОХРАНУ ЗДОРОВЬЯ И МЕДИЦИНСКУЮ ПОМОЩЬ ЗАКРЕПЛЕНО В СТАТЬЕ ______ КОНСТИТУЦИИ РОССИЙСКОЙ ФЕДЕРАЦИИ
А	7
Б	39
В	65
Г	41",Г 41,"Статья, в которой закреплено право граждан на охрану здоровья и медицинскую помощь в Конституции Российской Федерации, это статья 41 (Г). В данной статье гарантируется право на охрану здоровья и медицинскую помощь, что подтверждается Конституцией Российской Федерации.",1
9,"ЗАБОЛЕВАНИЕ, КОТОРОЕ ВЫЗЫВАЕТ ПЕРВООЧЕРЕДНУЮ НЕОБХОДИМОСТЬ ОКАЗАНИЯ МЕДИЦИНСКОЙ ПОМОЩИ В СВЯЗИ С НАИБОЛЬШЕЙ УГРОЗОЙ ЖИЗНИ И ЗДОРОВЬЮ, ЛИБО СТАНОВИТСЯ ПРИЧИНОЙ СМЕРТИ, ЯВЛЯЕТСЯ ___________ ЗАБОЛЕВАНИЕМ
А	основным
Б	прогрессирующим
В	рецидивирующим
Г	сопутствующим",А основным,"Заболевание, которое вызывает первоочередную необходимость оказания медицинской помощи в связи с наибольшей угрозой жизни и здоровью, либо становится причиной смерти, является **основным** заболеванием. Это связано с тем, что основное заболевание является основным и наиболее серьезным заболеванием, требующим немедленного вмешательства и лечения для предотвращения негативных последствий.",1
10,"О КАЧЕСТВЕ ПРОФИЛАКТИЧЕСКОЙ РАБОТЫ СВИДЕТЕЛЬСТВУЕТ ПОКАЗАТЕЛЬ
А	охвата прикрепленного населения профилактическими медицинскими осмотрами
Б	текучести кадров
В	отношения числа пациентов, которым проведена трансплантация почки, к числу нуждающихся
Г	занятости койки в стационаре, в который госпитализируется прикрепленное население",А охвата прикрепленного населения профилактическими медицинскими осмотрами,"Для выбора правильного ответа, необходимо обосновать его на основе предоставленных данных. В данном случае, показатель, который наиболее явно свидетельствует о качестве профилактической работы, это пункт А - охвата прикрепленного населения профилактическими медицинскими осмотрами. Этот показатель указывает на то, насколько эффективно проводится профилактическая работа среди прикрепленного населения, что важно для раннего выявления заболеваний и поддержания здоровья граждан. Охват прикрепленного населения профилактическими медицинскими осмотрами является ключевым показателем успешной профилактической работы в системе здравоохранения.",1
11,"К ГИПОГЛИКЕМИЧЕСКИМ ПРЕПАРАТАМ 1 ЛИНИИ У ПАЦИЕНТОВ СО СТЕНОКАРДИЕЙ НАПРЯЖЕНИЯ, ОЖИРЕНИЕМ, ЛИБО ИЗБЫТОЧНОЙ МАССОЙ ТЕЛА И САХАРНЫМ ДИАБЕТОМ 2 ТИПА, ПРИ ОТСУТСТВИИ ПРОТИВОПОКАЗАНИЙ ОТНОСЯТ
А	тиазолидиндионы
Б	ингибиторы альфа-глюкозидаз
В	метформин
Г	производные сульфонилмочевины",В метформин,"Из предложенных вариантов препаратов 1 линии для пациентов с стенокардией напряжения, ожирением, либо избыточной массой тела и сахарным диабетом 2 типа, при отсутствии противопоказаний, наиболее подходящим является метформин. Метформин является рекомендованным препаратом первой линии для лечения сахарного диабета 2 типа и часто используется у пациентов с ожирением или избыточной массой тела. Также, метформин имеет дополнительные пользы для сердечно-сосудистой системы, что может быть особенно важно для пациентов с стенокардией напряжения.

Поэтому, правильный ответ: В метформин.",1
12,"ПРИ РЕЦИДИВЕ ИНФАРКТА МИОКАРДА ДЛЯ ПОВТОРНОГО ВВЕДЕНИЯ НЕ РАЗРЕШЕНО ПРИМЕНЕНИЕ
А        проурокиназы
Б        стрептокиназы
В        тенектеплазы
Г        алтеплазы",Б        стрептокиназы,"Для повторного введения при рецидиве инфаркта миокарда не разрешено применение стрептокиназы. Это обосновывается тем, что стрептокиназа является антикоагулянтом, который может вызвать аллергические реакции и имеет ограничения по повторному применению из-за выработки антител.",1
13,"ПРОВЕДЕНИЕ ТРОМБОЛИТИЧЕСКОЙ ТЕРАПИИ У ПАЦИЕНТОВ С ОСТРЫМ ИНФАРКТОМ МИОКАРДА С ПОДЪЕМОМ СЕГМЕНТА ST ПОКАЗАНО В ПЕРВЫЕ
А        12 часов от начала болевого приступа при невозможности провести ЧКВ в течение 2 часов
Б        24 часа от начала симптомов всем больным
В        4 часа от начала симптомов при невозможности провести ЧКВ в течение 1 часа
Г        4 часа от начала симптомов всем больным",А        12 часов от начала болевого приступа при невозможности провести ЧКВ в течение 2 часов,"The correct answer for the timing of thrombolytic therapy in patients with acute myocardial infarction with ST-segment elevation is option В: 4 hours from the onset of symptoms when it is not possible to perform primary percutaneous coronary intervention (PCI) within 1 hour. This timing is crucial for the effectiveness of thrombolytic therapy in such cases[1][4]. It is essential to administer thrombolytic therapy promptly to improve outcomes in patients experiencing acute myocardial infarction with ST-segment elevation when primary PCI is not immediately available.

Citations:
[1] https://szgmu.ru/upload/files/%D0%94%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D1%8B%20%D0%BA%D0%B0%D1%84%D0%B5%D0%B4%D1%80/%D1%84%D0%B0%D0%BA%D1%83%D0%BB.%D0%B8%20%D0%B3%D0%BE%D1%81%D0%BF%D0%B8%D1%82.%20%D1%82%D0%B5%D1%80%D0%B0%D0%BF%D0%B8%D0%B8/127_file.pdf
[2] https://remedium.ru/doctor/cardiology/bolevoy-sindrom-pri-pristupe-stenokardii/
[3] https://www.msdmanuals.com/ru/%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9/%D0%BD%D0%B5%D0%B2%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5-%D1%80%D0%B0%D1%81%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%B0/%D0%B1%D0%BE%D0%BB%D1%8C/%D0%BE%D1%86%D0%B5%D0%BD%D0%BA%D0%B0-%D0%B1%D0%BE%D0%BB%D0%B5%D0%B2%D0%BE%D0%B3%D0%BE-%D1%81%D0%B8%D0%BD%D0%B4%D1%80%D0%BE%D0%BC%D0%B0
[4] http://gkb2-74.ru/pacientam/pervaja-pomoshh/pervaja-pomoshh-pri-serdechnom-pristupe/
[5] https://citilab.clinic/boli-pri-ibs.php",-1
14,"ТОЛЩИНА СТЕНОК ЛЕВОГО ЖЕЛУДОЧКА ПРИ УМЕРЕННО ВЫРАЖЕННОЙ ГИПЕРТРОФИИ СОСТАВЛЯЕТ (В ММ)
А        14-16
Б        более 20
В        13-14
Г        16-20",А        14-16,"Правильный ответ на вопрос о толщине стенок левого желудочка при умеренно выраженной гипертрофии - В) 13-14 мм. Этот ответ обоснован медицинскими стандартами, которые указывают на то, что при умеренной гипертрофии левого желудочка толщина его стенок обычно составляет примерно 13-14 мм.",-1
15,"ОПТИМАЛЬНЫМ МЕТОДОМ ИССЛЕДОВАНИЯ ПРИ ПРЕДВАРИТЕЛЬНОМ ДИАГНОЗЕ «КОМБИНИРОВАННЫЙ МИТРАЛЬНЫЙ ПОРОК» ЯВЛЯЕТСЯ
А        перфузионная сцинтиграфия
Б        рентгеновская компьютерная томография
В        селективная ангиография
Г        допплерография",Г        допплерография,"Для предварительного диагноза ""комбинированный митральный порок"" оптимальным методом исследования является допплерография. Допплерография позволяет оценить степень порока и его влияние на сердечную деятельность, что делает этот метод наиболее подходящим для диагностики пороков сердца, включая митральный порок.",1
16,"РАЗМЕР ЛЕВОГО ПРЕДСЕРДИЯ В ПАРАСТЕРНАЛЬНОЙ ПОЗИЦИИ У ВЗРОСЛЫХ НА ЭХОКАРДИОГРАММЕ В НОРМЕ СОСТАВЛЯЕТ (В ММ)
А	35-37
Б	50
В	не более 40
Г	45-46",В	не более 40,"Ответ: Вариант ""Г"" - 45-46 мм.

Обоснование: Размер левого предсердия в паравертебральной позиции у взрослых на эхокардиограмме в норме составляет 45-46 мм.",-1
17,"РАННИМ ЭКГ-ПРИЗНАКОМ ГИПЕРКАЛИЕМИИ ЯВЛЯЕТСЯ
А	сглаженный зубец Т
Б	уширение комплекса QRS
В	укороченный интервал PQ
Г	высокий остроконечный зубец Т",Г	высокий остроконечный зубец Т,"Ответ: В укороченный интервал PQ.

ЭКГ-признаком гиперкалиемии является укороченный интервал PQ.",-1
18,"К УЗИ-ПРИЗНАКАМ СТЕНОЗА МИТРАЛЬНОГО ОТВЕРСТИЯ ОТНОСЯТ
А	движение створок митрального клапана в противофазе
Б	провисание створок митрального клапана в полость левого предсердия
В	утолщение створок митрального клапана
Г	увеличение амплитуды движения створок митрального клапана",В	утолщение створок митрального клапана,Для определения стеноза митрального отверстия по результатам ультразвукового исследования (УЗИ) следует рассматривать утолщение створок митрального клапана. Утолщение створок митрального клапана является одним из признаков стеноза митрального отверстия.,1
