Вопрос,Ответ,YaGPT-3 PRO,Результат
0,"НАИБОЛЕЕ ВЫСОКОЙ ЧУВСТВИТЕЛЬНОСТЬЮ ПРИ ДИАГНОСТИКЕ ИШЕМИЧЕСКОЙ БОЛЕЗНИ СЕРДЦА ОБЛАДАЕТ:
А холодовая диагностическая проба
Б велоэргометрия
В проба со статической физической нагрузкой
Г дипиридамоловая проба
",Б велоэргометрия,"Наиболее высокой чувствительностью при диагностике ишемической болезни сердца обладает велоэргометрия. Велоэргометрия (Б) является нагрузочной пробой, которая позволяет выявить ишемию миокарда, вызванную физической нагрузкой. Это делает её наиболее предпочтительным методом для диагностики ишемической болезни сердца, поскольку она позволяет непосредственно оценить реакцию сердца на нагрузку, что является ключевым фактором в развитии ишемии. Велоэргометрия обладает высокой чувствительностью, особенно при стенокардии напряжения, и позволяет не только подтвердить диагноз ИБС, но и определить функциональный класс заболевания с учётом толерантности к нагрузкам.",1
1,"ПРЯМЫЕ ПРИЗНАКИ ГЛУБОКОГО ПЕРЕГОРОДОЧНОГО (ПЕРЕДНЕЗАДНЕГО) ИНФАРКТА МИОКАРДА РЕГИСТРИРУЮТСЯ В ОТВЕДЕНИЯХ:
А II, aVR, V4
Б II, III, aVF, Dorsalis по Небу, V1-V4, V7-V9
В I, aVL, V5-V6
Г V1-V6
","Б II, III, aVF, Dorsalis по Небу, V1-V4, V7-V9","Правильный ответ - Б.
Обоснование: Прямые признаки глубокого перегородочного (переднезаднего) инфаркта миокарда регистрируются в отведениях II, III, aVF, Dorsalis по Небу, V1-V4, V7-V9. Это связано с тем, что при таком типе инфаркта поражается как передняя, так и задняя стенка левого желудочка. Отведения II, III, aVF отражают поражение задней стенки, а отведения V1-V4 - передней стенки. Отведения V7-V9 используются для диагностики инфаркта миокарда базальных отделов задней стенки.",1
2,"САМОЙ ЧАСТОЙ ПРИЧИНОЙ РАЗВИТИЯ КОРОНАРНОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ:
А коронарит
Б гипертрофия левого желудочка
В атеросклероз коронарных артерий
Г «мышечный» мостик в коронарных артериях
",В атеросклероз коронарных артерий,"В. атеросклероз коронарных артерий
Обоснование: Атеросклероз является наиболее частой причиной коронарной недостаточности, поскольку он вызывает образование холестериновых бляшек в просвете коронарных артерий, что приводит к их сужению и уменьшению кровотока к сердечной мышце. Это приводит к кислородному голоданию миокарда и развитию ишемической болезни сердца, которая может проявляться как стабильная стенокардия, нестабильная стенокардия или острый инфаркт миокарда.",1
3,"ПОКАЗАТЕЛИ ПРОТЕЗНОЙ ГЕМОДИНАМИКИ В НОРМЕ ЗАВИСЯТ ОТ:
А сократительной функции миокарда
Б шовного материала
В материала, из которого изготовлен протез	
Г места имплантации, размера и конструкции протеза
","Г места имплантации, размера и конструкции протеза","Правильный ответ - Г. Место имплантации, размер и конструкция протеза играют ключевую роль в определении показателей протезной гемодинамики. Эти факторы влияют на сопротивление потоку крови через протез, что, в свою очередь, определяет давление и объем кровотока. Сократительная функция миокарда, хотя и важна для общей гемодинамики, напрямую не влияет на показатели протезной гемодинамики, так как протез заменяет клапан сердца, а не сам миокард. Шовный материал и материал, из которого изготовлен протез, важны для обеспечения прочности и долговечности протеза, но они не оказывают прямого влияния на гемодинамические параметры.",1
4,"ПРИ ПОВОРОТЕ СЕРДЦА ВЕРХУШКОЙ ВПЕРЕД НА ЭКГ ПОЯВЛЯЕТСЯ:
А зубец Q в I-II-III отведениях
Б передне-верхний полублок левой ножки пучка Гиса
В блокада задней ветви левой ножки пучка Гиса
Г зубец S в правых грудных отведениях
",А зубец Q в I-II-III отведениях,"Правильный ответ - В, блокада задней ветви левой ножки пучка Гиса. Это связано с тем, что при повороте сердца верхушкой вперед электрическая ось сердца отклоняется вправо, что приводит к изменению направления распространения электрического импульса в сердце. Это изменение проявляется на ЭКГ как блокада задней ветви левой ножки пучка Гиса, которая характеризуется увеличением амплитуды зубца R в правых грудных отведениях и уменьшением амплитуды зубца S в левых грудных отведениях.",-1
5,"К ПРИЧИНАМ ЗАКЛИНИВАНИЯ СТВОРОК ПРОТЕЗА ОТНОСЯТ:
А отрыв папиллярной мышцы, тромбоз, паннус
Б парапротезную фистулу
В кальциноз основания ЗМС	
Г ориентацию протеза
","А отрыв папиллярной мышцы, тромбоз, паннус","Правильный ответ - В, кальциноз основания ЗМС. Кальциноз основания ЗМС может привести к нарушению функции протеза и его заклиниванию. Отрыв папиллярной мышцы, тромбоз и паннус могут вызвать другие проблемы с работой сердца, но не обязательно приводят к заклиниванию створок протеза. Парапротезная фистула и ориентация протеза также могут влиять на работу протеза, но не являются прямой причиной его заклинивания.",-1
6,"СТАНДАРТНЫМ ПРОТОКОЛОМ ДЛЯ ПРОВЕДЕНИЯ ТРЕДМИЛ-ТЕСТА У ПАЦИЕНТОВ С ПРЕДПОЛАГАЕМОЙ ХОРОШЕЙ ПЕРЕНОСИМОСТЬЮ НАГРУЗОК ЯВЛЯЕТСЯ:
А Modified bruce
Б Cornell
В Balke
Г Bruce
",Г Bruce,"Стандартным протоколом для проведения тредмил-теста у пациентов с предполагаемой хорошей переносимостью нагрузок является протокол Bruce. Это обосновано тем, что протокол Bruce является наиболее распространенным и широко используемым протоколом для проведения тредмил-теста. Он характеризуется быстрым увеличением интенсивности нагрузки, что позволяет эффективно оценить толерантность к физической нагрузке и выявить возможные сердечно-сосудистые проблемы.",0
7,"ПАПИЛЛЯРНЫЕ МЫШЦЫ ЛОЦИРУЮТСЯ:
А субкостально
Б по короткой оси ЛЖ на уровне папиллярных мышц
В по длинной оси ЛЖ
Г супрастернально
",Б по короткой оси ЛЖ на уровне папиллярных мышц,Правильный ответ - Б. Папиллярные мышцы лоцируются по короткой оси левого желудочка (ЛЖ) на уровне папиллярных мышц. Это связано с анатомическим расположением этих структур внутри сердца.,1
8,"ЦЕНТРАЛЬНОЕ ВЕНОЗНОЕ ДАВЛЕНИЕ ПРИ НАКОПЛЕНИИ В ПЕРИКАРДЕ ЖИДКОСТИ:
А повышается
Б может быть как низким, так и высоким
В снижается
Г не изменяется
",А повышается,"А повышается
Обоснование: При накоплении жидкости в перикарде развивается тампонада сердца, что приводит к повышению центрального венозного давления. Это связано с тем, что жидкость в перикарде сдавливает сердце, затрудняя его работу по наполнению кровью. В результате увеличивается давление в венах, чтобы обеспечить достаточное поступление крови к сердцу.",1
9,"ТИПИЧНЫЕ ЭКГ-ПРИЗНАКИ ПЕРИКАРДИТА МОГУТ ОТСУТСТВОВАТЬ ПРИ _________ ФОРМЕ ОСТРОГО ПЕРИКАРДИТА:
А постперикардотомной
Б уремической
В постинфарктной
Г вирусной
",Б уремической,"Правильный ответ - А (постперикардотомной форме острого перикардита). Это связано с тем, что после операции на сердце, такой как перикардэктомия, могут происходить изменения в структуре перикарда, приводящие к его облитерации. В таких случаях классические ЭКГ-признаки перикардита, такие как подъем сегмента ST, могут отсутствовать из-за отсутствия воспаления или жидкости в перикардиальной полости.",-1
