Вопрос,Ответ,YaGPT,Результат
0,"«ЗОЛОТЫМ» СТАНДАРТОМ ДИАГНОСТИКИ МИОКАРДИТА ЯВЛЯЕТСЯ
А коронарография
Б эндомиокардиальная биопсия
В оценка маркеров повреждения миокарда
Г оценка уровня аутоантител к кардиомиоцитам",Б эндомиокардиальная биопсия,"«Золотым стандартом» диагностики миокардита является эндомиокардиальная биопсия (ответ Б). Это инвазивный метод, который позволяет выявить воспалительные инфильтраты, очаги некроза и рубцовую ткань в миокарде. Биопсия даёт наиболее точную информацию о причине и степени поражения миокарда, что важно для выбора тактики лечения и прогноза заболевания.",1
1,"НАИБОЛЕЕ ЧАСТОЙ ПРИЧИНОЙ МИОКАРДИТА ЯВЛЯЮТСЯ
А риккетсии
Б вирусы
В бактерии
Г простейшие",Б вирусы ,"Наиболее частой причиной миокардита являются вирусы (ответ Б). Вирусы вызывают воспалительные процессы в миокарде, приводя к развитию миокардита.",1
2,"У ПАЦИЕНТОВ С ГКМП И СКРЫТОЙ ОБСТРУКЦИЕЙ ГРАДИЕНТ ДАВЛЕНИЯ В ВЫХОДНОМ ОТДЕЛЕ ЛЕВОГО ЖЕЛУДОЧКА СОСТАВЛЯЕТ (В ММ РТ. СТ.) ________ В ПОКОЕ И __________ ПРИ НАГРУЗКЕ
А более 20; менее 20
Б менее 20; более 20
В менее 30; более 30
Г более 30; менее 30",В менее 30; более 30 ,"У пациентов с ГКМП и скрытой обструкцией градиент давления в выходном отделе левого желудочка составляет более 30 мм рт. ст. в покое и при нагрузке (ответ Г).
Обоснование: у пациентов с ГКМП и скрытой обструкцией градиент давления в покое составляет 30 мм рт. ст. или более, и при нагрузке он увеличивается ещё больше.",-1
3,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ МЕТОДОМ ИНСТРУМЕНТАЛЬНОЙ ДИАГНОСТИКИ МИОКАРДИТА ВЫСТУПАЕТ
А перфузионная сцинтиграфия миокарда
Б чреспищеводная и трансторакальная эхокардиография
В магнитно-резонансная томография
Г рентгенография органов грудной клетки",В магнитно-резонансная томография ,"Наиболее информативным методом инструментальной диагностики миокардита является перфузионная сцинтиграфия миокарда. Этот метод позволяет визуализировать зоны повреждения и некроза миокарда, что помогает подтвердить диагноз миокардита.",-1
4,"КАКОЙ ПРЕПАРАТ ОБЛАДАЕТ НАИБОЛЬШИМ ЭФФЕКТОМ ПО СНИЖЕНИЮ ХС ЛПНП И УМЕНЬШЕНИЮ РИСКА СЕРДЕЧНО-СОСУДИСТЫХ СОБЫТИЙ ПРИ ЕГО ДОБАВЛЕНИИ К СТАТИНАМ В СЛУЧАЯХ, ЕСЛИ ЦЕЛЕВОЙ УРОВЕНЬ ХС ЛПНП НА МОНОТЕРАПИИ СТАТИНАМИ НЕ ДОСТИГНУТ?
А эзетимиб
Б фенофибрат
В ингибитор PCSK9
Г никотиновая кислота",В ингибитор PCSK9 ,Наибольшим эффектом по снижению ХС ЛПНП и уменьшению риска сердечно-сосудистых событий обладает эзетимиб. Он снижает уровень ХС ЛПНП на 20–30% и уменьшает риск сердечно-сосудистых событий на 15–20%.,-1
5,"ПРИ КАРДИОГЕННОМ ОТЕКЕ ЛЕГКИХ ПРОТИВОПОКАЗАНО НАЗНАЧЕНИЕ
А петлевых диуретиков
Б β-адреноблокаторов
В глюкокортикостероидов
Г вазопрессорных аминов",Б β-адреноблокаторов ,"Правильный ответ — В. Глюкокортикостероиды противопоказаны при кардиогенном отёке лёгких, так как они могут усугубить отёк и ухудшить состояние пациента.",-1
6,"АНТИАРИТМИЧЕСКИМ ПРЕПАРАТОМ III КЛАССА ЯВЛЯЕТСЯ
А пропранолол
Б амиодарон
В метопролол
Г прокаинамид",Б амиодарон ,"Правильный ответ — Б: амиодарон.
Амиодарон относится к антиаритмическим препаратам III класса и обладает антиангинальным действием. Он увеличивает длительность потенциала действия кардиомиоцитов и эффективный рефрактерный период предсердий, желудочков сердца, AV-узла, пучка Гиса и волокон Пуркинье, снижая автоматизм синусового узла и замедляя AV-проводимость.",1
7,"НЕГАТИВНОЕ ВЛИЯНИЕ НА ЛИПИДНЫЙ ПРОФИЛЬ ОТСУТСТВУЕТ ПРИ ЛЕЧЕНИИ
А ингибиторами АПФ
Б β-адреноблокаторами
В кортикостероидами
Г тиазидовыми диуретиками",А ингибиторами АПФ ,"Правильный ответ — ингибиторы АПФ (А). Они положительно влияют на ключевые звенья патогенеза заболевания и не оказывают негативного воздействия на углеводный, липидный и пуриновый обмены.",1
8,"БОЛЬШИМ КРИТЕРИЕМ ДИАГНОСТИКИ ИНФЕКЦИОННОГО ЭНДОКАРДИТА ЯВЛЯЕТСЯ ________ РЕЗУЛЬТАТ ПОСЕВА КРОВИ
А отрицательный; но высокий титр антител к Brucella
Б положительный; в одной из двух проб, взятых с интервалом более 12 часов
В положительный; в обеих пробах, взятых с интервалом 5 минут
Г положительный; в трёх пробах, взятых с интервалом 30 минут между первой и последней","Г положительный; в трёх пробах, взятых с интервалом 30 минут между первой и последней ","Большим критерием диагностики инфекционного эндокардита является положительный результат посева крови в обеих пробах, взятых с интервалом 5 минут (ответ В).
Этот критерий выбран потому, что он наиболее точно отражает наличие инфекции в крови и связан с высоким риском развития осложнений, таких как формирование абсцессов и развитие сепсиса.",-1
9,"К ФАКТОРАМ, ПРЕДРАСПОЛАГАЮЩИМ К РЕЦИДИВАМ ИНФЕКЦИОННОГО ЭНДОКАРДИТА, ОТНОСЯТ
А поражение протезного клапана
Б сопутствующую хроническую болезнь почек
В поражение нативного клапана
Г вегетации",А поражение протезного клапана,"Г — вегетации — являются основным фактором, предрасполагающим к рецидивам инфекционного эндокардита. Вегетации представляют собой скопления бактерий и воспалительных клеток на клапанах сердца, которые могут вызывать повреждение клапанов, нарушение функции сердца и развитие осложнений.",-1
