Вопрос,Ответ,YaGPT,Результат
0,"НАИБОЛЕЕ ВЫСОКОЙ ЧУВСТВИТЕЛЬНОСТЬЮ ПРИ ДИАГНОСТИКЕ ИШЕМИЧЕСКОЙ БОЛЕЗНИ СЕРДЦА ОБЛАДАЕТ:
А холодовая диагностическая проба
Б велоэргометрия
В проба со статической физической нагрузкой
Г дипиридамоловая проба
",Б велоэргометрия,Наиболее высокой чувствительностью при диагностике ишемической болезни сердца обладает велоэргометрия. Этот метод позволяет достичь диагностически значимого уровня нагрузки (до 85–90 %) и имеет небольшой процент противопоказаний (около 20–35 %). Велоэргометрия также позволяет оценить толерантность к нагрузкам и редко сопровождается осложнениями (1–2 %).,1
1,"ПРЯМЫЕ ПРИЗНАКИ ГЛУБОКОГО ПЕРЕГОРОДОЧНОГО (ПЕРЕДНЕЗАДНЕГО) ИНФАРКТА МИОКАРДА РЕГИСТРИРУЮТСЯ В ОТВЕДЕНИЯХ:
А II, aVR, V4
Б II, III, aVF, Dorsalis по Небу, V1-V4, V7-V9
В I, aVL, V5-V6
Г V1-V6
","Б II, III, aVF, Dorsalis по Небу, V1-V4, V7-V9","Прямые признаки глубокого перегородочного (переднезаднего) инфаркта миокарда регистрируются в отведениях:
Б II, III, aVF, Dorsalis по Небу, V1–V4, V7–V9
Это связано с тем, что при таком инфаркте боковая стенка обращена вперёд и влево, что приводит к появлению признаков инфаркта в указанных отведениях.",1
2,"САМОЙ ЧАСТОЙ ПРИЧИНОЙ РАЗВИТИЯ КОРОНАРНОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ:
А коронарит
Б гипертрофия левого желудочка
В атеросклероз коронарных артерий
Г «мышечный» мостик в коронарных артериях
",В атеросклероз коронарных артерий,"Самой частой причиной развития коронарной недостаточности является атеросклероз коронарных артерий. Это заболевание характеризуется образованием холестериновых бляшек в просвете артерий, которые перекрывают кровоток и мешают нормальному снабжению миокарда кровью.",1
3,"ПОКАЗАТЕЛИ ПРОТЕЗНОЙ ГЕМОДИНАМИКИ В НОРМЕ ЗАВИСЯТ ОТ:
А сократительной функции миокарда
Б шовного материала
В материала, из которого изготовлен протез	
Г места имплантации, размера и конструкции протеза
","Г места имплантации, размера и конструкции протеза","Показатели протезной гемодинамики в норме зависят от места имплантации, размера и конструкции протеза.",1
4,"ПРИ ПОВОРОТЕ СЕРДЦА ВЕРХУШКОЙ ВПЕРЕД НА ЭКГ ПОЯВЛЯЕТСЯ:
А зубец Q в I-II-III отведениях
Б передне-верхний полублок левой ножки пучка Гиса
В блокада задней ветви левой ножки пучка Гиса
Г зубец S в правых грудных отведениях
",А зубец Q в I-II-III отведениях,"Правильный ответ — блокада задней ветви левой ножки пучка Гиса.
При повороте сердца верхушкой вперёд на ЭКГ появляется блокада задней ветви левой ножки пучка Гиса, так как нарушается проведение возбуждения по этой ветви. В результате этого на ЭКГ в отведениях III, aVF, V1 и V2 регистрируется отрицательный зубец Q или преимущественно зубец rS.",-1
5,"К ПРИЧИНАМ ЗАКЛИНИВАНИЯ СТВОРОК ПРОТЕЗА ОТНОСЯТ:
А отрыв папиллярной мышцы, тромбоз, паннус
Б парапротезную фистулу
В кальциноз основания ЗМС	
Г ориентацию протеза
","А отрыв папиллярной мышцы, тромбоз, паннус",К причинам заклинивания створок протеза относится ориентация протеза.,-1
6,"СТАНДАРТНЫМ ПРОТОКОЛОМ ДЛЯ ПРОВЕДЕНИЯ ТРЕДМИЛ-ТЕСТА У ПАЦИЕНТОВ С ПРЕДПОЛАГАЕМОЙ ХОРОШЕЙ ПЕРЕНОСИМОСТЬЮ НАГРУЗОК ЯВЛЯЕТСЯ:
А Modified bruce
Б Cornell
В Balke
Г Bruce
",Г Bruce,"Стандартным протоколом для проведения тредмил-теста у пациентов с предполагаемой хорошей переносимостью нагрузок является протокол Bruce. Этот протокол предполагает постепенное увеличение скорости ходьбы и угла наклона беговой дорожки, что позволяет оценить функциональное состояние сердечно-сосудистой системы и определить индивидуальную толерантность к физической нагрузке.",1
7,"ПАПИЛЛЯРНЫЕ МЫШЦЫ ЛОЦИРУЮТСЯ:
А субкостально
Б по короткой оси ЛЖ на уровне папиллярных мышц
В по длинной оси ЛЖ
Г супрастернально
",Б по короткой оси ЛЖ на уровне папиллярных мышц,Папиллярные мышцы локализуются по короткой оси левого желудочка на уровне папиллярных мышц.,1
8,"ЦЕНТРАЛЬНОЕ ВЕНОЗНОЕ ДАВЛЕНИЕ ПРИ НАКОПЛЕНИИ В ПЕРИКАРДЕ ЖИДКОСТИ:
А повышается
Б может быть как низким, так и высоким
В снижается
Г не изменяется
",А повышается,Центральное венозное давление снижается при накоплении жидкости в перикарде. Это происходит из-за уменьшения объёма крови в сосудистом русле и ухудшения насосной функции сердца.,-1
9,"ТИПИЧНЫЕ ЭКГ-ПРИЗНАКИ ПЕРИКАРДИТА МОГУТ ОТСУТСТВОВАТЬ ПРИ _________ ФОРМЕ ОСТРОГО ПЕРИКАРДИТА:
А постперикардотомной
Б уремической
В постинфарктной
Г вирусной
",Б уремической,Типичные ЭКГ-признаки перикардита могут отсутствовать при уремической форме острого перикардита.,1
10,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ ПРИ ВЫПОТНОМ ПЕРИКАРДИТЕ СЛЕДУЕТ СЧИТАТЬ МЕТОД:
А электрокардиографии
Б рентгенографии
В эхокардиографии
Г аускультации
",В эхокардиографии,"Наиболее информативным методом при выпотном перикардите считается эхокардиография (В). Она позволяет выявить даже небольшое количество жидкого экссудата в перикардиальной полости, изменение движений сердца и наличие сращений.",1
11,"СОВРЕМЕННАЯ КЛИНИЧЕСКАЯ КАРТИНА КАРДИТА ПРИ ОСТРОЙ РЕВМАТИЧЕСКОЙ ЛИХОРАДКЕ ОБЫЧНО ПРЕДСТАВЛЕНА:
А диффузным миокардитом
Б эндокардитом в сочетании с очаговым миокардитом
В перикардитом
Г инфекционным эндокардитом Либмана-Сакса
",Б эндокардитом в сочетании с очаговым миокардитом,"Современная клиническая картина кардита при острой ревматической лихорадке обычно представлена эндокардитом в сочетании с очаговым миокардитом. Это связано с тем, что ревматизм — системное воспалительное заболевание соединительной ткани с преимущественным поражением сердечно-сосудистой системы.",1
12,"ПОРАЖЕНИЕ АОРТАЛЬНОГО КЛАПАНА В СОЧЕТАНИИ С СУБФЕБРИЛЬНОЙ ТЕМПЕРАТУРОЙ, УВЕЛИЧЕНИЕМ СОЭ И ЭМБОЛИЯМИ УКАЗЫВАЕТ НА:
А миокардит
Б ревматический кардит
В порок сердца
Г атеросклероз
",Б ревматический кардит,"Поражение аортального клапана в сочетании с субфебрильной температурой, увеличением СОЭ и эмболиями указывает на порок сердца. Это связано с тем, что порок сердца — это структурное нарушение строения клапанов сердца или отверстий между камерами сердца, которое приводит к нарушению нормального кровотока.",-1
13,"ДЛЯ УСТАНОВЛЕНИЯ СТЕПЕНИ НЕДОСТАТОЧНОСТИ КЛАПАНОВ ПРИ ФАЗОВО-КОНТРАСТНОЙ МРТ СЕРДЦА НЕОБХОДИМО РАССЧИТАТЬ:
А конечно-диастолический объем желудочков
Б показатели диастолической функции
В объем регургитации за сокращение
Г градиент давления на уровне соответствующего клапана
",В объем регургитации за сокращение,Для установления степени недостаточности клапанов при фазово-контрастной МРТ сердца необходимо рассчитать градиент давления на уровне соответствующего клапана. Этот параметр позволяет оценить работу клапана и его функцию.,-1
14,"НАИБОЛЕЕ ЧАСТОЙ ПРИЧИНОЙ ВТОРИЧНОЙ МИТРАЛЬНОЙ НЕДОСТАТОЧНОСТИ ЯВЛЯЕТСЯ:
А ревматизм
Б инфекционный эндокардит
В гипертоническая болезнь
Г ишемическая болезнь сердца
",Г ишемическая болезнь сердца,"Наиболее частой причиной вторичной митральной недостаточности является инфекционный эндокардит. Это воспаление внутренней оболочки сердца, которое может привести к образованию вегетаций — образований, состоящих из фибрина, тромбоцитов и микроорганизмов, на створках сердечных клапанов.",-1
