Вопрос,Ответ,YaGPT,Результат
0,"В ПЕРЕРЫВЕ ДУГИ АОРТЫ В ЗАВИСИМОСТИ ОТ ЛОКАЛИЗАЦИИ ВЫДЕЛЯЮТ ____ ТИПА
А 2
Б 4
В 5
Г 3",Г 3,"Правильный ответ — Б: сахарный диабет 2 типа.
Сахарный диабет 2 типа является модифицируемым фактором риска развития атеросклероза, так как он связан с нарушением обмена веществ и повышением уровня сахара в крови. Это приводит к повреждению стенок сосудов, накоплению холестерина и образованию атеросклеротических бляшек.",-1
1,"К ТРЕТЬЕМУ ТИПУ АТРЕЗИИ ЛЕГОЧНОЙ АРТЕРИИ ОТНОСЯТ АТРЕЗИЮ
А клапана и ствола легочной артерии
Б ствола и обеих ветвей легочной артерии
В клапана легочной артерии
Г ствола и одной из ветвей легочной артерии",Г ствола и одной из ветвей легочной артерии,Третий тип атрезии легочной артерии — это атрезия клапана легочной артерии (тип II). При этом типе атрезии правая и левая легочные артерии хорошо развиты и имеют раздельное или общее начало.,-1
2,"ФИЗИЧЕСКИЕ УПРАЖНЕНИЯ, ПРИМЕНЯЕМЫЕ У БОЛЬНЫХ С КОМПЕНСИРОВАННЫМИ ПОРОКАМИ СЕРДЦА НА ТРЕНИРУЮЩЕМ РЕЖИМЕ, ИСКЛЮЧАЮТ
А упражнения с дозированным усилием и отягощением
Б тренировочную ходьбу
В дозированную греблю
Г силовые упражнения",Г силовые упражнения,"Правильный ответ — Б: тренировочная ходьба.
Упражнения с дозированным усилием и отягощением, а также силовые упражнения могут ухудшить состояние больного с компенсированными пороками сердца, так как они создают дополнительную нагрузку на сердце и могут привести к нарушению кровообращения.",-1
3,"КРИТЕРИЕМ КАРДИОЛОГИЧЕСКОГО БОЛЬНОГО С НИЗКИМ РИСКОМ ОСЛОЖНЕНИЙ ЯВЛЯЕТСЯ
А остановка сердца в анамнезе
Б коронарное шунтирование
В выраженное нарушение насосной функции миокарда (фракция выброса менее 30%)
Г отсутствие патологической симптоматики в покое",Г отсутствие патологической симптоматики в покое,"Критерием кардиологического больного с низким риском осложнений является отсутствие патологической симптоматики в покое (ответ под буквой Г). Это связано с тем, что наличие остановки сердца в анамнезе, коронарное шунтирование и выраженное нарушение насосной функции миокарда (фракция выброса менее 30%) указывают на высокий риск осложнений и требуют более тщательного наблюдения и лечения.",1
4,"К КРАТКОСРОЧНЫМ ЗАДАЧАМ КАРДИОРЕАБИЛИТАЦИИ ОТНОСЯТ
А снижение заболеваемости и смертности
Б выявление и устранение факторов риска
В стабилизацию сердечно-сосудистого заболевания и обеспечение контроля его симптомов
Г стабилизацию или предотвращение прогрессирования атеросклеротического процесса
",В стабилизацию сердечно-сосудистого заболевания и обеспечение контроля его симптомов,Правильный ответ — В. Краткосрочные задачи кардиореабилитации включают стабилизацию сердечно-сосудистого заболевания и обеспечение контроля над его симптомами. Это позволяет улучшить качество жизни пациента и предотвратить развитие осложнений.,1
5,"КРИТЕРИЕМ КАРДИОЛОГИЧЕСКОГО БОЛЬНОГО С ПРОМЕЖУТОЧНЫМ РИСКОМ ОСЛОЖНЕНИЙ ЯВЛЯЕТСЯ
А остановка сердца в анамнезе
Б неосложненный инфаркт миокарда
В выраженное нарушение насосной функции миокарда (фракция выброса менее 30%)
Г отсутствие патологической симптоматики в покое
",Б неосложненный инфаркт миокарда,"Критерием кардиологического больного с промежуточным риском осложнений является В — выраженное нарушение насосной функции миокарда (фракция выброса менее 30%). Это связано с тем, что снижение фракции выброса указывает на снижение способности сердца эффективно перекачивать кровь, что повышает риск развития осложнений, таких как сердечная недостаточность, аритмии и другие проблемы.",-1
6,"ПРЕПАРАТОМ ВЫБОРА ДЛЯ КУПИРОВАНИЯ БОЛЕВОГО СИНДРОМА И ПРОФИЛАКТИКИ КАРДИОГЕННОГО ШОКА ПРИ ОСТРОМ ИНФАРКТЕ ЯВЛЯЕТСЯ
А нитроглицерин
Б морфина гидрохлорид
В трамадол
Г тримеперидин",Б морфина гидрохлорид,"Есть темы, в которых глупость недопустима, так что я лучше промолчу.",0
7,"АНТИАНГИНАЛЬНОЕ ДЕЙСТВИЕ БЕТА-АДРЕНОБЛОКАТОРОВ ЗАКЛЮЧАЕТСЯ В
А повышении артериального давления
Б увеличении сократительной способности миокарда
В расширении коронарных сосудов
Г снижении потребности миокарда в кислороде",Г снижении потребности миокарда в кислороде,"Правильный ответ — Г, снижение потребности миокарда в кислороде.
Антиангинальное действие бета-адреноблокаторов заключается в снижении потребности миокарда в кислороде. Это достигается за счёт уменьшения частоты и силы сердечных сокращений, а также улучшения коронарного кровотока.",1
8,"ПРЕПАРАТОМ, ПРЕПЯТСТВУЮЩИМ АГРЕГАЦИИ ТРОМБОЦИТОВ И ОБРАЗОВАНИЮ «БЕЛОГО» ТРОМБА, ЯВЛЯЕТСЯ
А варфарин
Б апиксабан
В аспирин
Г дабигатран",В аспирин,"Правильный ответ — варфарин.
Варфарин является препаратом, препятствующим агрегации тромбоцитов и образованию «белого» тромба, потому что он блокирует метаболизм витамина К, снижает его количество в крови и останавливает закупорку просвета кровеносного сосуда фрагментом тромба.",-1
9,"БЫСТРАЯ ОТМЕНА КЛОНИДИНА ОПАСНА РАЗВИТИЕМ ТАКОГО СОСТОЯНИЯ КАК
А гипертонический криз
Б сердечная недостаточность
В повышение содержания ангиотензина II
Г острая почечная недостаточность",А гипертонический криз,"Быстрая отмена клонидина может привести к развитию гипертонического криза, так как это состояние связано с резким повышением артериального давления. Клонидин снижает артериальное давление, стимулируя альфа-2-адренорецепторы и повышая активность блуждающего нерва. Быстрая отмена препарата может вызвать обратный эффект — повышение артериального давления и развитие гипертонического криза.",1
10,"РАЗВИТИЮ ТРОМБОЗА ЛЕВОГО ПРЕДСЕРДИЯ СПОСОБСТВУЕТ
А желудочковая тахикардия
Б гипертрофия миокарда 
В относительная недостаточность митрального клапана
Г фибрилляция предсердий",Г фибрилляция предсердий ,"Г — фибрилляция предсердий — способствует развитию тромбоза левого предсердия.
При фибрилляции предсердий нарушается нормальный кровоток в левом предсердии, что создаёт условия для образования тромбов.",1
11,"ПАЦИЕНТАМ С ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ МОЛОЖЕ 80 ЛЕТ, ВЕСОМ БОЛЕЕ 60 КГ, КРЕАТИНИНОМ ВЫШЕ ИЛИ РАВНЫМ 132 ММОЛЬ/Л НАЗНАЧАЕТСЯ 2 РАЗА В ДЕНЬ АПИКСАБАН В ДОЗЕ (В МГ)
А 5
Б 2,5
В 20
Г 30",А 5,"Есть темы, в которых глупость недопустима, так что я лучше промолчу.",0
12,"НАИБОЛЕЕ ЭФФЕКТИВНЫМ ПРЕПАРАТОМ ДЛЯ ПРЕДУПРЕЖДЕНИЯ ПОВТОРНЫХ ПРИСТУПОВ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ЯВЛЯЕТСЯ
А пропранолол
Б амиодарон
В хинидин
Г прокаинамид",Б амиодарон ,"Есть темы, в которых глупость недопустима, так что я лучше промолчу.",0
13,"ДИАГНОЗ «СКРЫТАЯ АГ» МОЖНО ИСКЛЮЧИТЬ ПРИ УРОВНЕ (В ММ РТ. СТ.)
А «офисного» АД ≥140/90
Б дневного амбулаторного АД <135/85
В дневного амбулаторного АД >135/85
Г среднесуточного амбулаторного АД >135/80",Б дневного амбулаторного АД <135/85,"Правильный ответ — В (дневное амбулаторное АД >135/85).
Скрытая АГ (маскированная гипертензия) характеризуется повышением только амбулаторного АД, в то время как офисное АД остаётся в норме. Таким образом, диагноз скрытой АГ можно исключить при уровне дневного амбулаторного АД >135/85 мм рт. ст.",-1
14,"РИСК АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ ПРИ НАЛИЧИИ АССОЦИИРОВАННЫХ КЛИНИЧЕСКИХ СОСТОЯНИЙ
А средний
Б низкий
В высокий
Г очень высокий",Г очень высокий,"Правильный ответ — «В»: высокий риск.
Артериальная гипертония связана с повышенным риском развития сердечно-сосудистых заболеваний, таких как инфаркт миокарда и инсульт. Наличие ассоциированных клинических состояний, таких как сахарный диабет, хроническая болезнь почек, ишемическая болезнь сердца, цереброваскулярные заболевания, увеличивает этот риск.",1
15,"СУТОЧНОЕ МОНИТОРИРОВАНИЕ АРТЕРИАЛЬНОГО ДАВЛЕНИЯ ПОЗВОЛЯЕТ ВЫЯВИТЬ
А преходящие нарушения проводимости
Б вазоспастическую стенокардию
В феномен белого халата
Г нарушение вариабельности сердечного ритма",В феномен белого халата ,"Правильный ответ — Г: нарушение вариабельности сердечного ритма.
Суточное мониторирование артериального давления (СМАД) позволяет выявить нарушение вариабельности сердечного ритма, потому что этот метод даёт возможность непрерывно регистрировать артериальное давление в течение 24 часов. Это помогает определить изменения в работе сердечно-сосудистой системы и выявить нарушения вариабельности сердечного ритма, которые могут указывать на проблемы с регуляцией кровяного давления и риском развития сердечно-сосудистых заболеваний.",-1
16,"В БИОХИМИЧЕСКИХ АНАЛИЗАХ КРОВИ ПРИ СИНДРОМЕ КОННА ЧАЩЕ ВСЕГО ОБНАРУЖИВАЕТСЯ
А повышение уровня катехоламинов
Б повышение уровня ренина
В снижение концентрации альдостерона
Г повышение концентрации альдостерона",Г повышение концентрации альдостерона,"Правильный ответ — повышение концентрации альдостерона (вариант Г).
При синдроме Конна (синдром первичного гиперальдостеронизма) наблюдается чрезмерное производство альдостерона корой надпочечников, что приводит к повышению его концентрации в крови.",1
17,"НАИБОЛЕЕ ИНФОРМАТИВНЫМ ПРИ ВЫПОТНОМ ПЕРИКАРДИТЕ СЛЕДУЕТ СЧИТАТЬ МЕТОД
А электрокардиографии
Б эхокардиографии
В аускультации
Грентгенографии",Б эхокардиографии ,"Наиболее информативным методом диагностики выпотного перикардита считается эхокардиография (Б). Она позволяет выявить наличие эхонегативного (свободного) пространства между листками перикарда, диастолическую сепарацию париетальной пластинки и эпикарда, а также утолщение перикарда.",1
18,"ВЫПОТ ПРИ ПЕРИКАРДИТЕ, ВЫЗВАННОМ МЕЗОТЕЛИОМОЙ, НОСИТ _________ ХАРАКТЕР
А хилезный
Б гнойный
В геморрагический
Г серозный",В геморрагический ,"Правильный ответ — серозный.
Серозный характер выпота при перикардите, вызванном мезотелиомой, связан с тем, что мезотелиома вызывает воспаление перикарда, которое приводит к накоплению серозной жидкости в полости перикарда.",-1
19,"ДЛЯ ЭКССУДАТИВНОГО ПЕРИКАРДИТА БЕЗ ТАМПОНАДЫ ПО ДАННЫМ ЭХОКГ ХАРАКТЕРНО
А наличие жидкости в полости перикарда
Б уменьшение размеров правого предсердия и правого желудочка в диастолу
В увеличение левого предсердия и левого желудочка
Г аномальное движение межжелудочковой перегородки в диастолу
",А наличие жидкости в полости перикарда ,"Правильный ответ — А: наличие жидкости в полости перикарда.
Экссудативный перикардит характеризуется накоплением жидкости в полости перикарда, что приводит к сдавлению сердца и нарушению его функции. Это подтверждается данными эхокардиографии, которая выявляет наличие жидкости в перикардиальном пространстве.",1
20,"ПАЦИЕНТУ С АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ, ОСНОВНАЯ ПРОФЕССИЯ КОТОРОГО - МАШИНИСТ ЛОКОМОТИВА, МОЖНО ОПРЕДЕЛИТЬ III ГРУППУ ИНВАЛИДНОСТИ НА ПЕРИОД ВРЕМЕНИ
А бессрочно
Б 6 месяцев
В 1 год
Г 3 года",В 1 год,"Правильный ответ — В (1 год).
Это основано на результатах исследования, которое показало, что трёхэтапная профилактика инвалидности у пациентов с артериальной гипертензией привела к улучшению показателей физической работоспособности и снижению количества случаев временной нетрудоспособности в течение одного года.",1
21,"ПРИ ВЫДАЧЕ ЛИСТКА НЕТРУДОСПОСОБНОСТИ НА БУМАЖНОМ НОСИТЕЛЕ В СЛУЧАЯХ, ПРЕДУСМОТРЕННЫХ ЗАКОНОДАТЕЛЬСТВОМ РОССИЙСКОЙ ФЕДЕРАЦИИ И НАЛИЧИИ ОШИБОК В ЗАПОЛНЕНИИ ЛИСТКА НЕТРУДОСПОСОБНОСТИ, ЛИБО В СВЯЗИ С ЕГО ПОРЧЕЙ ИЛИ УТЕРЕЙ ПО РЕШЕНИЮ ВРАЧЕБНОЙ КОМИССИИ ВЗАМЕН РАНЕЕ ВЫДАННОГО ЛИСТКА НЕТРУДОСПОСОБНОСТИ
А оформляется выписка из протокола врачебной комиссии
Б оформляется копия листка нетрудоспособности с внесенными в нее исправлениями
В оформляется дубликат листка нетрудоспособности
Г допускается выдача дуплета листка нетрудоспособности",В оформляется дубликат листка нетрудоспособности,"Правильный ответ — Б: оформляется копия листка нетрудоспособности с внесёнными в неё исправлениями.
Это следует из пункта 56 Порядка выдачи и оформления листков нетрудоспособности, утверждённого приказом Минздрава России от 01.09.2020 № 925н.",-1
